lake_name,creel_year,n_species,total_harvest,total_directed_effort_hours,aggregate_harvest_rate_fish_per_hour,n_days,n_days_in_window,mean_tmax_c,mean_tmin_c,total_prcp_mm,county,surface_area_acres,max_depth_ft,mean_depth_ft,lake_type,trophic_status,primary_species,source_url_or_file,notes,trophic_index,lake_type_bucket
Minocqua Lake,2024-25,11,40499.0,132822.0,0.30491183689449036,273,273,12.954578754578753,0.36875,547.1,Oneida,1339,60.0,23.0,drainage,mesotrophic,"Black Crappie; Bluegill (2024-25 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=1542400 (facts page); data/v0/pdfs/MinocquaLake_2425Creel.pdf (physical characteristics section),"Creel PDF states 1,360 acres/60 ft max depth (drainage lake); WDNR Find-a-Lake facts page (WBIC 1542400) gives 1,339 acres/60 ft max/23 ft mean/mesotrophic. Minor acreage discrepancy (1,339 vs 1,360) between the two WDNR sources themselves; both are WDNR-sourced, kept both, table uses the Find-a-Lake figure since it is the only one with mean depth + trophic status.",2.0,drainage
Pelican Lake,2024-25,10,31378.0,148975.0,0.21062594395032724,273,273,12.954578754578753,0.36875,547.1,Oneida,3545,39.0,,drainage,eutrophic,"Walleye; Yellow Perch (2024-25 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=1579900 (facts page); data/v0/pdfs/PelicanLake_2425Creel.pdf (physical characteristics section),"Creel PDF states 3,585 acres/39 ft max depth; WDNR Find-a-Lake facts page (WBIC 1579900) gives 3,545 acres/39 ft max/eutrophic. Minor acreage discrepancy between the two WDNR sources (3,545 vs 3,585); mean depth not found on either source.",3.0,drainage
Devils Lake,Jul 2023-Jun 2024,13,14043.0,43128.0,0.32561213132999445,231,240,20.143722943722942,7.413362068965517,740.6,Sauk,374,47.0,30.0,seepage,mesotrophic,"Brown Trout; Bluegill (Jul2023-Jun2024 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=980900 (facts page); data/v0/pdfs/DevilsLake_2024Creel.pdf (physical characteristics section),"Creel PDF and WDNR Find-a-Lake facts page agree exactly: 374 acres, 47 ft max depth, 30 ft mean depth, seepage lake (no outlet, one small inlet, water pumped out post-stratification to manage phosphorus).",2.0,seepage
Big Green Lake,2022-23,12,95286.0,216530.0,0.44005911421050203,317,329,13.78044164037855,3.100925925925926,818.8,Green Lake,7920,236.0,104.0,drainage,mesotrophic,"Bluegill; Smallmouth Bass (2022-23 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=146100 (facts page); data/v0/pdfs/BigGreenLake_2023Creel.pdf (physical characteristics section),Deepest natural inland lake in Wisconsin. Creel PDF max depth 236 ft; WDNR facts page 236-237 ft (rounding); WDNR facts page gives mean depth 104 ft (published water-quality-model literature cites ~100 ft) and mesotrophic trophic status (2-story/coldwater-capable lake).,2.0,drainage
Lake Wisconsin,Jul 2022-Jun 2023,12,23412.0,171492.0,0.1365194877895179,227,227,9.080176211453743,-2.529955947136564,496.2,Columbia/Sauk,7197,24.0,,impoundment (flowage; WDNR hydrologic type coded DRAINAGE),eutrophic,"Walleye; Sauger (Jul2022-Jun2023 creel, Lake Wisconsin portion only, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=1260600 (facts page); data/v0/pdfs/LakeWisconsin_2023Creel.pdf (physical characteristics section),"Creel PDF describes it as the main impoundment of the Wisconsin River formed by the Prairie du Sac Dam, 7,200 acres, max depth 24 ft; WDNR facts page gives 7,197 acres and eutrophic trophic status. Mean depth not found on either source. Note: this creel report also covers the separate Kilbourn Dam tailwater reach downstream, which is excluded here as a river reach, not part of the lake proper.",3.0,impoundment
Petenwell Lake,Mar-Jun 2023,16,77615.0,333877.0,0.23246584820158323,119,122,16.974789915966387,3.5795081967213114,267.4,Adams/Juneau/Wood,23173,44.0,,impoundment (flowage; WDNR hydrologic type coded DRAINAGE),,"Walleye; White Bass (Mar-Jun 2023 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=1377100 (facts page); data/v0/pdfs/PetenwellLake_2023Creel.pdf (physical characteristics section),"Creel PDF and WDNR facts page agree: 23,173 acres, 44 ft max depth, flowage on the Wisconsin River (dam built 1948). Mean depth and trophic status not found on WDNR Find-a-Lake facts page in this pass. Unit caveat carried over from the step-1 inventory: this lake's creel report uses fish-per-hour catch/harvest rate, not hours-per-fish like the other 10 -- must be normalized before cross-lake comparison.",,impoundment
Pine Lake,2023-24,9,957.0,12736.0,0.07514133165829145,270,272,13.464814814814815,3.6355555555555554,463.4,Iron,300,41.0,17.0,drainage,mesotrophic,"Smallmouth Bass; Walleye (2023-24 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=2949200 (facts page); data/v0/pdfs/PineLake_2324Creel.pdf (physical characteristics section),"Creel PDF states 312 acres/41 ft max depth; WDNR Find-a-Lake facts page (WBIC 2949200) gives 300 acres/41 ft max/17 ft mean/mesotrophic. Minor acreage discrepancy between the two WDNR sources (300 vs 312); near Mercer, WI. Distinct from unrelated same-named Pine Lakes in St. Croix, Waukesha, and Rusk counties -- verified WBIC before use.",2.0,drainage
Sand Lake,2023-24,8,3404.0,17168.0,0.19827586206896552,273,273,16.683882783882783,4.872893772893773,458.2,Sawyer,949,50.0,21.0,drainage,mesotrophic,"Walleye; Muskellunge (2023-24 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=2393200 (facts page); data/v0/pdfs/SandLake_2324Creel.pdf (physical characteristics section),"Creel PDF states 928 acres/50 ft max depth; WDNR Find-a-Lake facts page (WBIC 2393200) gives 949 acres/50 ft max/21 ft mean/mesotrophic, 85% sand substrate. Minor acreage discrepancy between the two WDNR sources (928 vs 949); distinct from same-named Sand Lakes in Marinette and Burnett counties -- verified WBIC before use.",2.0,drainage
Sawyer Lake,Summer 2023,9,4048.0,12806.0,0.3161018272684679,118,118,20.807627118644067,8.758474576271187,292.9,Langlade,149,31.0,10.0,seepage,,"Largemouth Bass; Bluegill (Summer 2023 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=198100 (facts page); data/v0/pdfs/SawyerLakeLanglade_2023Creel.pdf (physical characteristics section),"Creel PDF and WDNR facts page agree exactly: 149 acres, 31 ft max depth, seepage lake. WDNR facts page adds mean depth 10 ft. Trophic status not listed on WDNR facts page in this pass.",,seepage
Lake Wissota,2019-20,10,20215.0,89571.0,0.22568688526420383,181,181,22.213259668508286,10.500552486187846,760.0,Chippewa,6148,64.4,,impoundment (flowage; WDNR hydrologic type coded DRAINAGE),,"Walleye; Black Crappie (2019-20 creel, top 2 by pct of directed effort)",https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=2152800 (facts page); data/v0/pdfs/LakeWissota_2019Creel.pdf (physical characteristics section),"Creel PDF states 6,300 acres/72 ft max depth (reservoir on the Chippewa River); WDNR Find-a-Lake facts page (WBIC 2152800) gives 6,148 acres/64.4 ft max. Noticeable acreage and max-depth discrepancy between the two WDNR sources (6,148 vs 6,300 acres; 64.4 vs 72 ft) -- both kept, table uses the Find-a-Lake figures for consistency with the other lakes' primary source. Mean depth and trophic status not found on WDNR facts page in this pass.",,impoundment
