source_url,source_file,retrieval_date,waterbody,county,creel_year,species,directed_effort_hours,pct_of_directed_effort,total_catch,catch_rate_hrs_per_fish,total_harvest,harvest_rate_hrs_per_fish,harvest_rate_fish_per_hour,mean_harvest_length_in
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Walleye,18407,8.2,2302,9.53,891,22.75,0.044,19.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Northern Pike,7495,3.4,2878,5.02,253,31.48,0.0318,29.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Muskellunge,3884,1.7,90,60.32,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Smallmouth Bass,40647,18.2,24010,1.96,441,127.82,0.0078,15.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Largemouth Bass,28261,12.6,16738,2.25,189,286.92,0.0035,17.2
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Yellow Perch,23222,10.4,84837,0.35,17074,1.47,0.6803,8.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Bluegill,53488,23.9,197795,0.27,70731,0.76,1.3158,7.9
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Black Crappie,12914,5.8,4931,3.2,2206,6.71,0.149,10.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Pumpkinseed,4015,1.8,1463,3.13,731,6.09,0.1642,6.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Rock Bass,1844,0.8,22863,1.21,751,2.51,0.3984,8.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,Lake Trout,19453,8.7,2815,7.68,1103,17.91,0.0558,20.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Report_GreenLakeBigGreenLake2023Creel.pdf,BigGreenLake_2023Creel.pdf,2026-09-08,Big Green Lake,Green Lake,2022-23,White Bass,2900,1.3,1620,3.41,916,4.19,0.2387,15.8
