source_url,source_file,retrieval_date,waterbody,county,creel_year,species,directed_effort_hours,pct_of_directed_effort,total_catch,catch_rate_hrs_per_fish,total_harvest,harvest_rate_hrs_per_fish,harvest_rate_fish_per_hour,mean_harvest_length_in
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Brown Trout,14429,33.5,9950,1.6,6949,2.1,0.4762,12.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Bluegill,9300,21.6,16100,0.6,5410,1.7,0.5882,8.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Largemouth Bass,6772,15.7,2865,3.0,261,43.6,0.0229,11.9
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Smallmouth Bass,4498,10.4,544,9.7,17,441.5,0.0023,11.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Yellow Perch,2780,6.4,945,3.4,509,5.9,0.1695,10.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Rock Bass,1551,3.6,3064,0.7,447,4.9,0.2041,8.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Black Crappie,1174,2.7,101,20.1,63,56.3,0.0178,10.3
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Northern Pike,1115,2.6,180,9.7,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Green Sunfish,796,1.8,1231,1.4,240,4.7,0.2128,6.3
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Pumpkinseed,320,0.7,237,2.4,129,4.7,0.2128,7.7
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Rainbow Trout,215,0.5,14,0.0,14,0.0,,19.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Walleye,165,0.4,0,,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_SaukDevils2024Creel.pdf,DevilsLake_2024Creel.pdf,2026-09-08,Devils Lake,Sauk,Jul 2023-Jun 2024,Burbot,13,0.0,5,,4,,,18.9
