date,depth_ft,temperature_c,station_id,station_name,lake_name,creel_year,in_creel_window
1978-07-19,0.0,10.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
1978-08-15,0.0,11.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
1978-09-20,0.0,11.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
1998-04-29,0.0,10.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
1998-05-28,0.0,21.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
1998-07-23,0.0,10.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
1998-10-28,0.0,11.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
1998-11-24,0.0,6.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-05-10,0.0,17.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-05-24,0.0,16.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-06-06,0.0,16.9,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-06-21,0.0,21.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-07-18,0.0,10.1,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-08-01,0.0,10.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-08-16,0.0,10.7,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-08-30,0.0,10.1,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-09-13,0.0,21.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-09-28,0.0,16.9,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-10-12,0.0,13.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-10-25,0.0,11.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2000-11-15,0.0,8.9,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-05-16,0.0,16.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-05-29,0.0,16.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-06-12,0.0,18.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-06-26,0.0,21.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-07-10,0.0,23.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-07-24,0.0,26.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-08-07,0.0,27.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-08-21,0.0,23.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-09-16,0.0,19.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2001-10-17,0.0,8.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-06-06,0.0,16.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-06-20,0.0,10.9,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-07-01,0.0,10.9,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-07-16,0.0,10.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-08-08,0.0,10.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-08-29,0.0,10.7,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-09-04,0.0,11.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-09-12,0.0,11.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-09-20,0.0,11.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-09-25,0.0,10.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-10-02,0.0,11.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-10-09,0.0,10.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-10-16,0.0,12.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2002-10-30,0.0,8.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2003-08-01,3.0,24.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2003-08-11,3.0,24.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2003-09-05,3.0,23.3,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2007-05-19,1.0,15.56,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2007-06-17,2.0,24.11,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2007-08-05,1.0,24.89,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2007-08-26,1.0,24.11,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-07-16,1.0,25.3,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-07-16,2.0,24.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-07-16,3.0,24.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-07-16,0.0,25.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-08-13,1.0,24.7,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-08-13,2.0,24.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-08-13,3.0,24.3,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-08-13,0.0,25.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-09-17,1.0,19.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-09-17,2.0,19.7,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-09-17,3.0,19.3,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2008-09-17,0.0,20.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-04-16,0.0,8.1,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-04-16,1.0,6.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-04-16,2.0,6.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-04-16,3.0,6.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-04-21,0.0,8.1,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-04-21,1.0,6.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-04-21,2.0,6.5,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-04-21,3.0,6.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-07-21,0.0,21.7,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-07-21,1.0,21.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-07-21,2.0,21.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-07-21,3.0,21.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-07-23,0.0,21.7,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-07-23,1.0,21.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-07-23,2.0,21.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-07-23,3.0,21.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-08-26,0.0,22.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-08-26,1.0,22.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-08-26,2.0,22.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-08-26,3.0,22.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-09-15,0.0,22.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-09-15,1.0,22.7,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-09-15,2.0,22.4,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2009-09-15,3.0,22.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-04-19,0.0,10.3,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-04-19,1.0,10.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-04-19,2.0,10.1,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-04-19,3.0,0.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-07-13,0.0,25.3,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-07-13,1.0,25.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-07-13,2.0,25.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-07-13,3.0,25.0,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-08-17,0.0,25.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-08-17,1.0,25.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-08-17,2.0,25.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2010-08-17,3.0,25.2,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2011-08-16,0.0,24.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2011-08-16,1.0,24.8,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2011-08-16,2.0,24.7,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
2011-08-16,3.0,24.6,10034776,Devils Lake - Deep Hole (LOC 19),Devils Lake,Jul 2023-Jun 2024,False
