date,depth_ft,temperature_c,station_id,station_name,lake_name,creel_year,in_creel_window
1973-08-15,0.0,10.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1973-10-22,0.0,10.56,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1974-03-13,0.0,1.11,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1974-08-14,0.0,11.11,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1974-10-09,0.0,10.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1975-01-28,0.0,-0.28,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1979-09-06,0.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1988-07-26,0.0,24.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1988-08-30,0.0,19.5,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1988-11-11,0.0,4.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1989-03-29,0.0,2.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1989-05-04,0.0,6.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1989-06-21,0.0,19.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1989-08-08,0.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1989-08-24,0.0,21.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1989-10-24,0.0,6.5,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1990-03-15,0.0,2.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1990-04-26,0.0,11.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1990-06-20,0.0,18.5,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1990-06-21,0.0,8.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1990-10-31,0.0,8.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1991-02-27,0.0,1.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1991-05-14,0.0,7.5,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1991-06-18,0.0,23.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1991-07-25,0.0,22.5,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1991-08-27,0.0,22.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1991-10-31,0.0,6.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-05-12,0.0,6.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-07-06,0.0,17.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-07-23,0.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-08-16,1.0,21.11,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-08-16,3.0,20.56,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-08-27,0.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-08-31,1.0,18.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-08-31,3.0,18.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-09-13,1.0,16.67,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-09-13,3.0,16.11,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-09-27,1.0,14.44,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-09-27,3.0,14.44,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-10-11,1.0,12.22,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1992-10-11,3.0,12.22,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-05-13,0.0,12.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-05-16,1.0,12.22,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-06-21,1.0,17.78,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-06-21,3.0,17.78,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-06-30,0.0,19.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-07-19,1.0,22.22,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-07-19,3.0,22.22,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-07-27,0.0,22.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-08-17,1.0,23.89,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-08-17,3.0,23.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-08-31,0.0,21.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-09-19,1.0,15.56,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-09-19,3.0,15.56,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-10-11,1.0,10.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-10-11,3.0,10.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1993-11-03,0.0,5.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1994-03-15,0.0,3.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1994-05-05,0.0,7.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1994-06-12,1.0,19.44,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1994-06-21,0.0,24.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1994-07-17,1.0,21.11,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1994-08-21,1.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1994-09-18,1.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1994-10-16,1.0,12.22,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1995-06-04,1.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1995-07-05,1.0,21.11,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1995-08-06,3.0,25.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1995-09-04,1.0,22.22,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1995-10-09,1.0,12.78,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-06-10,1.0,18.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-06-10,3.0,18.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-07-07,1.0,23.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-07-07,3.0,23.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-08-11,1.0,21.67,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-08-11,3.0,21.67,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-09-03,3.0,23.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-10-01,1.0,13.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1996-10-01,3.0,13.33,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1997-06-10,3.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
1997-07-08,1.0,20.0,443134,Minocqua Lake - Center Basin,Minocqua Lake,2024-25,False
