date,depth_ft,temperature_c,station_id,station_name,lake_name,creel_year,in_creel_window
1991-08-28,0.0,20.6,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
1991-09-03,0.0,10.4,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
1997-05-21,0.0,9.3,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
1997-08-14,0.0,19.5,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2011-07-26,1.0,27.22,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2011-08-05,1.0,25.56,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2011-08-28,0.0,23.33,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2011-09-10,0.0,22.78,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2011-10-05,0.0,15.0,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2011-10-21,0.0,9.89,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2012-04-23,3.0,8.33,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2012-05-03,3.0,17.0,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2012-08-02,3.0,26.11,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2012-09-08,1.0,22.22,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2014-05-29,0.0,21.67,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2014-06-17,0.0,20.56,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2014-07-24,0.0,23.33,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2014-08-30,0.0,20.0,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2014-09-26,0.0,15.56,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2017-07-05,1.0,24.0,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2017-07-05,3.0,23.06,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2017-07-25,1.0,23.17,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2017-07-25,3.0,23.06,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
2017-08-24,1.0,20.17,263036,Pine Lake - Deep Hole,Pine Lake,2023-24,False
