date,depth_ft,temperature_c,station_id,station_name,lake_name,creel_year,in_creel_window
1990-07-10,3.0,24.44,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1990-08-14,3.0,20.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1990-09-19,3.0,17.22,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1990-10-22,3.0,8.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1991-08-13,3.0,23.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1991-09-06,3.0,18.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1991-10-07,3.0,10.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1992-08-24,3.0,20.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1992-09-21,3.0,15.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1993-06-06,3.0,15.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1993-07-07,3.0,18.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1993-08-29,3.0,22.22,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1993-09-21,3.0,13.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-05-24,1.0,20.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-05-24,3.0,20.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-06-27,1.0,22.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-06-27,3.0,22.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-07-25,1.0,21.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-07-25,3.0,21.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-08-31,1.0,20.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-08-31,3.0,20.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-10-05,1.0,13.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
1994-10-05,3.0,13.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
