date,water_level_ft_IGLD
2013-01-01,576.051
2013-01-02,576.04
2013-01-03,576.076
2013-01-04,575.705
2013-01-05,575.926
2013-01-06,576.167
2013-01-07,575.858
2013-01-08,575.858
2013-01-09,575.893
2013-01-10,576.019
2013-01-11,576.342
2013-01-12,576.025
2013-01-13,576.04
2013-01-14,575.973
2013-01-15,575.919
2013-01-16,575.741
2013-01-17,575.969
2013-01-18,575.833
2013-01-19,576.007
2013-01-20,575.835
2013-01-21,575.811
2013-01-22,575.838
2013-01-23,576.026
2013-01-24,576.198
2013-01-25,576.07
2013-01-26,576.116
2013-01-27,576.068
2013-01-28,576.236
2013-01-29,576.283
2013-01-30,576.476
2013-01-31,576.12
2013-02-01,576.058
2013-02-02,576.249
2013-02-03,576.207
2013-02-04,576.195
2013-02-05,576.224
2013-02-06,576.187
2013-02-07,576.491
2013-02-08,576.591
2013-02-09,576.329
2013-02-10,576.46
2013-02-11,576.261
2013-02-12,576.116
2013-02-13,576.189
2013-02-14,576.366
2013-02-15,576.243
2013-02-16,576.304
2013-02-17,576.343
2013-02-18,576.325
2013-02-19,576.269
2013-02-20,576.203
2013-02-21,576.422
2013-02-22,576.556
2013-02-23,576.421
2013-02-24,576.331
2013-02-25,576.354
2013-02-26,576.762
2013-02-27,576.933
2013-02-28,576.73
2013-03-01,576.689
2013-03-02,576.517
2013-03-03,576.417
2013-03-04,576.435
2013-03-05,576.594
2013-03-06,576.516
2013-03-07,576.383
2013-03-08,576.333
2013-03-09,576.443
2013-03-10,576.577
2013-03-11,576.467
2013-03-12,576.341
2013-03-13,576.354
2013-03-14,576.285
2013-03-15,576.438
2013-03-16,576.565
2013-03-17,576.531
2013-03-18,576.595
2013-03-19,576.34
2013-03-20,576.13
2013-03-21,576.256
2013-03-22,576.304
2013-03-23,576.402
2013-03-24,576.667
2013-03-25,576.686
2013-03-26,576.414
2013-03-27,576.302
2013-03-28,576.358
2013-03-29,576.38
2013-03-30,576.369
2013-03-31,576.356
2013-04-01,576.2
2013-04-02,576.216
2013-04-03,576.293
2013-04-04,576.251
2013-04-05,576.384
2013-04-06,576.463
2013-04-07,576.478
2013-04-08,576.594
2013-04-09,576.711
2013-04-10,576.977
2013-04-11,577.152
2013-04-12,577.253
2013-04-13,576.776
2013-04-14,576.723
2013-04-15,576.981
2013-04-16,576.688
2013-04-17,577.003
2013-04-18,577.27
2013-04-19,576.749
2013-04-20,576.714
2013-04-21,576.994
2013-04-22,577.152
2013-04-23,577.137
2013-04-24,576.961
2013-04-25,576.983
2013-04-26,577.089
2013-04-27,577.215
2013-04-28,577.244
2013-04-29,577.261
2013-04-30,577.323
2013-05-01,577.391
2013-05-02,577.489
2013-05-03,577.563
2013-05-04,577.493
2013-05-05,577.424
2013-05-06,577.384
2013-05-07,577.357
2013-05-08,577.345
2013-05-09,577.393
2013-05-10,577.7
2013-05-11,577.352
2013-05-12,577.09
2013-05-13,577.161
2013-05-14,577.468
2013-05-15,577.394
2013-05-16,577.284
2013-05-17,577.503
2013-05-18,577.521
2013-05-19,577.52
2013-05-20,577.602
2013-05-21,577.617
2013-05-22,577.561
2013-05-23,577.75
2013-05-24,577.557
2013-05-25,577.546
2013-05-26,577.611
2013-05-27,577.688
2013-05-28,577.774
2013-05-29,577.67
2013-05-30,577.669
2013-05-31,577.729
2013-06-01,577.688
2013-06-02,577.639
2013-06-03,577.571
2013-06-04,577.727
2013-06-05,577.836
2013-06-06,577.853
2013-06-07,577.731
2013-06-08,577.756
2013-06-09,577.868
2013-06-10,577.921
2013-06-11,577.75
2013-06-12,577.878
2013-06-13,577.795
2013-06-14,577.77
2013-06-15,577.803
2013-06-16,577.804
2013-06-17,577.859
2013-06-18,577.976
2013-06-19,577.896
2013-06-20,577.882
2013-06-21,577.892
2013-06-22,577.892
2013-06-23,577.826
2013-06-24,577.789
2013-06-25,577.819
2013-06-26,577.891
2013-06-27,577.898
2013-06-28,577.851
2013-06-29,578.021
2013-06-30,578.038
2013-07-01,578.098
2013-07-02,578.047
2013-07-03,578.027
2013-07-04,577.966
2013-07-05,577.891
2013-07-06,577.858
2013-07-07,577.851
2013-07-08,577.97
2013-07-09,577.917
2013-07-10,577.842
2013-07-11,577.836
2013-07-12,577.945
2013-07-13,577.948
2013-07-14,577.944
2013-07-15,577.927
2013-07-16,577.885
2013-07-17,577.791
