source_url,source_file,retrieval_date,waterbody,species,year,harvest,harvest_sd,total_angler_hours,harvest_rate_fish_per_hour
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2013,336467,6406,2779977,0.1210
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2014,304187,8104,2613170,0.1164
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2015,270835,6285,2742595,0.0988
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2016,383793,8356,2631149,0.1459
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2017,311299,8484,2549887,0.1221
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2018,266200,6652,2456877,0.1083
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2019,187708,6052,2362083,0.0795
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2020,217257,5286,1964085,0.1106
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2021,288252,7019,2734359,0.1054
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2022,292232,8644,2489286,0.1174
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2023,298528,13481,2485275,0.1201
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),All salmonids combined,2024,466199,22446,2281228,0.2044
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),Yellow perch (total),2013,229954,19013,2779977,0.0827
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),Yellow perch (total),2014,126289,12333,2613170,0.0483
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),Yellow perch (total),2015,103520,10079,2742595,0.0377
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),Yellow perch (total),2016,78370,9307,2631149,0.0298
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),Yellow perch (total),2017,119893,12416,2549887,0.0470
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),Yellow perch (total),2018,119922,11072,2456877,0.0488
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),Yellow perch (total),2019,87800,15414,2362083,0.0372
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),Yellow perch (total),2020,255291,21761,1964085,0.1300
