source_url,source_file,retrieval_date,waterbody,fishery_type,year,species,period,harvest,angler_hours_period,season_harvest_rate_fish_per_hour
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Coho Salmon,March/April,744,279159,0.0421
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Coho Salmon,May,32631,270058,0.0421
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Coho Salmon,June,38840,402763,0.0421
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Coho Salmon,July,17378,647514,0.0421
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Coho Salmon,August,6608,412191,0.0421
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Coho Salmon,Sept/Oct,8491,465380,0.0421
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Yellow Perch,March/April,251,279159,0.0630
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Yellow Perch,May,5268,270058,0.0630
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Yellow Perch,June,17917,402763,0.0630
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Yellow Perch,July,26583,647514,0.0630
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Yellow Perch,August,39432,412191,0.0630
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Yellow Perch,Sept/Oct,65824,465380,0.0630
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Walleye,March/April,16300,279159,0.0535
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Walleye,May,39234,270058,0.0535
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Walleye,June,13167,402763,0.0535
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Walleye,July,20876,647514,0.0535
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Walleye,August,26837,412191,0.0535
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2022,Walleye,Sept/Oct,15640,465380,0.0535
