source_url,source_file,retrieval_date,waterbody,county,creel_year,species,directed_effort_hours,pct_of_directed_effort,total_catch,catch_rate_hrs_per_fish,total_harvest,harvest_rate_hrs_per_fish,harvest_rate_fish_per_hour,mean_harvest_length_in
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Walleye,57393,29.2,34628,1.7,5231,11.0,0.0909,17.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Sauger,35324,18.0,31916,1.2,5067,7.2,0.1389,16.5
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Black Crappie,,,9800,3.0,4288,4.7,0.2128,9.5
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,White Crappie,,,8404,1.7,2672,3.3,0.303,10.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Smallmouth Bass,22404,11.4,20052,1.4,53,,,15.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Largemouth Bass,21230,10.8,11734,2.0,442,54.1,0.0185,15.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Bluegill,16012,8.1,28256,0.5,8746,1.5,0.6667,7.2
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Yellow Perch,7054,3.6,6261,2.2,2008,4.8,0.2083,8.7
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,White Bass,2939,1.5,5162,1.4,1287,3.8,0.2632,12.2
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Northern Pike,2730,1.4,940,17.8,17,,,29.7
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Channel Catfish,2613,1.3,1251,2.8,92,32.2,0.0311,21.5
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Flathead Catfish,1677,0.9,290,99.5,53,,,21.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Muskellunge,1392,0.7,105,349.8,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ColumbiaSaukLakeWisconsinandWisconsinRiver2023Creel.pdf,LakeWisconsin_2023Creel.pdf,2026-09-08,Lake Wisconsin,Columbia/Sauk,Jul 2022-Jun 2023,Freshwater Drum,724,0.4,18114,3.6,416,6.4,0.1562,13.4
