source_url,source_file,retrieval_date,waterbody,county,creel_year,species,directed_effort_hours,pct_of_directed_effort,total_catch,catch_rate_hrs_per_fish,total_harvest,harvest_rate_hrs_per_fish,harvest_rate_fish_per_hour,mean_harvest_length_in
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Walleye,11177,8.4,2342,8.3,378,41.1,0.0243,19.7
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Northern Pike,9481,7.1,3009,4.7,491,19.7,0.0508,21.9
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Muskellunge,4873,3.7,267,20.7,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Smallmouth Bass,9733,7.3,3360,4.0,71,465.9,0.0021,13.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Largemouth Bass,17282,13.0,18254,1.3,1357,17.4,0.0575,13.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Yellow Perch,15403,11.6,10153,1.9,2456,7.2,0.1389,8.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Bluegill,27687,20.8,85861,0.3,24157,1.2,0.8333,7.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Black Crappie,27710,20.9,21674,1.3,8658,3.2,0.3125,10.5
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Pumpkinseed,9226,6.9,5647,2.2,2655,4.5,0.2222,7.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Rock Bass,172,0.1,1997,4.1,265,13.3,0.0752,7.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaMinocqua20242025Creel.pdf,MinocquaLake_2425Creel.pdf,2026-09-08,Minocqua Lake,Oneida,2024-25,Cisco,78,0.1,25,18.7,11,18.7,0.0535,17.6
