source_url,source_file,retrieval_date,waterbody,county,creel_year,species,directed_effort_hours,pct_of_directed_effort,total_catch,catch_rate_hrs_per_fish,total_harvest,harvest_rate_hrs_per_fish,harvest_rate_fish_per_hour,mean_harvest_length_in
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Walleye,34813,23.4,11664,3.3,2815,12.6,0.0794,16.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Northern Pike,14703,9.9,3685,6.7,1381,12.5,0.08,25.3
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Muskellunge,12149,8.2,450,35.4,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Smallmouth Bass,10274,6.9,10227,1.3,140,159.2,0.0063,17.7
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Largemouth Bass,5008,3.4,1827,3.7,22,,,16.9
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Yellow Perch,30568,20.5,41353,0.8,12849,2.4,0.4167,8.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Bluegill,18964,12.7,31800,0.7,10891,1.9,0.5263,7.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Black Crappie,12584,8.4,5895,2.8,2480,5.6,0.1786,10.3
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Pumpkinseed,9454,6.3,1777,11.4,514,37.9,0.0264,7.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_OneidaPelican2425Creel.pdf,PelicanLake_2425Creel.pdf,2026-09-08,Pelican Lake,Oneida,2024-25,Rock Bass,458,0.3,4559,1.8,286,3.6,0.2778,7.5
