source_url,source_file,retrieval_date,waterbody,county,creel_year,species,directed_effort_hours,pct_of_directed_effort,total_catch,catch_rate_hrs_per_fish,total_harvest,harvest_rate_hrs_per_fish,harvest_rate_fish_per_hour,mean_harvest_length_in
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Walleye,152971,67.4,115840,0.72,15122,0.1,10.0,16.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Muskellunge,3237,1.4,288,0.01,,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Northern Pike,11722,5.2,1189,0.02,24,0.0,,32.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Largemouth Bass,10514,4.6,62,0.01,,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Smallmouth Bass,15296,6.7,3478,0.13,248,0.0,,15.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Bluegill,4838,2.1,767,0.15,63,0.0,,6.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Pumpkinseed,305,0.1,16,0.05,16,0.1,10.0,5.7
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Crappies,13704,6.0,3544,0.26,2179,0.2,5.0,10.5
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Yellow Perch,10959,4.8,1504,0.09,734,0.1,10.0,10.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,White Bass,65011,28.6,59077,0.81,39463,0.6,1.6667,13.2
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Freshwater Drum,15355,6.8,26467,0.85,9988,0.6,1.6667,13.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Flathead Catfish,1569,0.7,95,0.06,,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Channel Catfish,23352,10.3,9873,0.28,4739,0.2,5.0,22.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Bigmouth Buffalo,1575,0.7,241,0.15,144,0.1,10.0,27.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Quilback,267,0.1,147,0.55,92,0.3,3.3333,21.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_AdamsJuneauWoodPetenwell2023Creel.pdf,PetenwellLake_2023Creel.pdf,2026-09-08,Petenwell Lake,Adams/Juneau/Wood,Mar-Jun 2023,Common Carp,3202,1.4,5434,1.7,4803,1.5,0.6667,27.0
