source_url,source_file,retrieval_date,waterbody,county,stocking_year,source_type,species,strain,age_class,number_stocked,avg_length_in
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a (queried live: county=Waukesha waterbody=PEWAUKEE LAKE),2026-09-08,Pewaukee Lake,Waukesha,2025,DNR,MUSKELLUNGE,GREAT LAKES SPOTTED,LARGE FINGERLING,2437,10.7
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2024,DNR,WALLEYE,ROCK-FOX,SMALL FINGERLING,11835,3
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2024,PRIVATE STOCKING,MUSKELLUNGE,UNSPECIFIED,LARGE FINGERLING,300,9
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2024,DNR,WALLEYE,ROCK-FOX,LARGE FINGERLING,25333,7.33
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2023,PRIVATE STOCKING,MUSKELLUNGE,UNSPECIFIED,YEARLING,115,12.5
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2023,PRIVATE STOCKING,MUSKELLUNGE,LEECH LAKE,LARGE FINGERLING,600,11
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2023,PRIVATE STOCKING,MUSKELLUNGE,UNSPECIFIED,LARGE FINGERLING,240,9
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2023,DNR,MUSKELLUNGE,UPPER WISCONSIN RIVER,LARGE FINGERLING,2437,11
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2022,PRIVATE STOCKING,MUSKELLUNGE,UNSPECIFIED,YEARLING,250,13
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2021,PRIVATE STOCKING,MUSKELLUNGE,UNSPECIFIED,YEARLING,195,14
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2021,PRIVATE STOCKING,MUSKELLUNGE,UNSPECIFIED,LARGE FINGERLING,225,11
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2021,DNR,WALLEYE,ROCK-FOX,FRY,6412000,0.5
https://apps.dnr.wi.gov/fisheriesmanagement/Public/Summary/Index,n/a,2026-09-08,Pewaukee Lake,Waukesha,2021,DNR,MUSKELLUNGE,UPPER WISCONSIN RIVER,LARGE FINGERLING,2437,12
