source_url,source_file,retrieval_date,waterbody,county,creel_year,species,directed_effort_hours,pct_of_directed_effort,total_catch,catch_rate_hrs_per_fish,total_harvest,harvest_rate_hrs_per_fish,harvest_rate_fish_per_hour,mean_harvest_length_in
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Walleye,2385,18.7,446,5.3,301,7.9,0.1266,12.2
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Muskellunge,2329,18.3,257,9.5,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Smallmouth Bass,2468,19.4,1070,2.8,61,41.2,0.0243,16.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Largemouth Bass,248,1.9,4,58.1,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Yellow Perch,2134,16.8,1182,1.9,126,18.4,0.0543,8.5
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Bluegill,1384,10.9,1126,1.2,377,3.7,0.2703,6.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Black Crappie,1622,12.7,81,21.6,54,29.5,0.0339,12.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Pumpkinseed,22,0.2,15,,10,,,6.9
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2023-24,Rock Bass,144,1.1,433,4.0,28,,,6.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2017-18,Walleye,1825,37.3,1020,2.1,544,3.5,0.2857,11.9
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2017-18,Northern Pike,65,1.3,1,,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2017-18,Muskellunge,1463,29.9,220,9.3,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2017-18,Smallmouth Bass,811,16.6,226,4.3,0,,,
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2017-18,Yellow Perch,148,3.0,225,5.2,31,14.1,0.0709,9.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2017-18,Bluegill,113,2.3,189,1.7,7,17.3,0.0578,8.2
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2017-18,Black Crappie,473,9.7,7,68.0,2,243.9,0.0041,12.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronPineCreel2324.pdf,PineLake_2324Creel.pdf,2026-09-08,Pine Lake,Iron,2017-18,Rock Bass,0.3,0.01,69,0.1,3,0.1,10.0,9.0
