waterbody,usgs_site_no,date,gage_height_ft,qualifiers
Lake Winnebago,04082500,2023-01-01,2.18,A
Lake Winnebago,04082500,2023-01-02,2.17,A
Lake Winnebago,04082500,2023-01-03,2.16,A
Lake Winnebago,04082500,2023-01-04,2.16,A;e
Lake Winnebago,04082500,2023-01-05,2.15,A;e
Lake Winnebago,04082500,2023-01-06,2.15,A;e
Lake Winnebago,04082500,2023-01-07,2.15,A;e
Lake Winnebago,04082500,2023-01-08,2.15,A;e
Lake Winnebago,04082500,2023-01-09,2.16,A;e
Lake Winnebago,04082500,2023-01-10,2.15,A;e
Lake Winnebago,04082500,2023-01-11,2.16,A;e
Lake Winnebago,04082500,2023-01-12,2.15,A;e
Lake Winnebago,04082500,2023-01-13,2.15,A;e
Lake Winnebago,04082500,2023-01-14,2.14,A;e
Lake Winnebago,04082500,2023-01-15,2.13,A;e
Lake Winnebago,04082500,2023-01-16,2.13,A;e
Lake Winnebago,04082500,2023-01-17,2.16,A;e
Lake Winnebago,04082500,2023-01-18,2.16,A;e
Lake Winnebago,04082500,2023-01-19,2.18,A;e
Lake Winnebago,04082500,2023-01-20,2.18,A;e
Lake Winnebago,04082500,2023-01-21,2.18,A;e
Lake Winnebago,04082500,2023-01-22,2.17,A;e
Lake Winnebago,04082500,2023-01-23,2.16,A;e
Lake Winnebago,04082500,2023-01-24,2.13,A;e
Lake Winnebago,04082500,2023-01-25,2.11,A;e
Lake Winnebago,04082500,2023-01-26,2.11,A;e
Lake Winnebago,04082500,2023-01-27,2.10,A
Lake Winnebago,04082500,2023-01-28,2.07,A
Lake Winnebago,04082500,2023-01-29,2.04,A
Lake Winnebago,04082500,2023-01-30,2.01,A
Lake Winnebago,04082500,2023-01-31,1.98,A
Lake Winnebago,04082500,2023-02-01,1.95,A
Lake Winnebago,04082500,2023-02-02,1.93,A
Lake Winnebago,04082500,2023-02-03,1.91,A
Lake Winnebago,04082500,2023-02-04,1.89,A
Lake Winnebago,04082500,2023-02-05,1.87,A
Lake Winnebago,04082500,2023-02-06,1.85,A
Lake Winnebago,04082500,2023-02-07,1.84,A
Lake Winnebago,04082500,2023-02-08,1.82,A
