"STATION","DATE","PRCP","TMAX","TMIN"
"USC00470742","2022-05-07","    0","  194","   22"
"USC00470742","2022-05-08","    0","  189","   50"
"USC00470742","2022-05-09","    0","  150","   89"
"USC00470742","2022-05-10","  114","  250","  117"
"USC00470742","2022-05-11","    0","  306","  178"
"USC00470742","2022-05-12","    0","  261","  167"
"USC00470742","2022-05-13","    0","  333","  206"
"USC00470742","2022-05-14","   38","  333","  156"
"USC00470742","2022-05-15","    0","  294","  133"
"USC00470742","2022-05-16","    0","  244","  106"
"USC00470742","2022-05-17","    0","  239","   56"
"USC00470742","2022-05-18","   51","  206","   72"
"USC00470742","2022-05-19","   64","  189","   78"
"USC00470742","2022-05-20","   89","  233","  156"
"USC00470742","2022-05-21","   15","  200","   89"
"USC00470742","2022-05-22","    0","  178","   56"
"USC00470742","2022-05-23","    0","  150","   39"
"USC00470742","2022-05-24","    0","  161","   28"
"USC00470742","2022-05-25","    0","  183","   72"
"USC00470742","2022-05-26","  236","  144","  100"
"USC00470742","2022-05-27","   10","  222","  100"
"USC00470742","2022-05-28","    0","  206","  111"
"USC00470742","2022-05-29","    0","  228","  122"
"USC00470742","2022-05-30","   33","  261","  172"
"USC00470742","2022-05-31","    0","  311","  200"
"USC00470742","2022-06-01","    0","  283","  128"
"USC00470742","2022-06-02","    0","  233","   94"
"USC00470742","2022-06-03","    0","  250","  111"
"USC00470742","2022-06-04","    0","  228","   67"
"USC00470742","2022-06-05","   13","  211","  111"
"USC00470742","2022-06-06","  272","  161","  128"
"USC00470742","2022-06-07","   64","  172","   94"
"USC00470742","2022-06-08","    5","  228","  122"
"USC00470742","2022-06-09","  218","  172","  100"
"USC00470742","2022-06-10","    0","  250","  106"
"USC00470742","2022-06-11","    0","  272","  144"
"USC00470742","2022-06-12","   33","  200","  122"
"USC00470742","2022-06-13","    0","  217","  111"
"USC00470742","2022-06-14","  173","  228","  167"
"USC00470742","2022-06-15","    0","  344","  206"
"USC00470742","2022-06-16","  178","  322","  167"
"USC00470742","2022-06-17","    0","  289","  150"
"USC00470742","2022-06-18","    0","  278","  106"
"USC00470742","2022-06-19","    0","  217","  111"
"USC00470742","2022-06-20","    0","  272","  117"
"USC00470742","2022-06-21","    0","  328","  222"
"USC00470742","2022-06-22","    0","  339","  178"
"USC00470742","2022-06-23","    0","  278","  117"
"USC00470742","2022-06-24","    0","  294","  194"
"USC00470742","2022-06-25","    0","  322","  194"
"USC00470742","2022-06-26","   28","  217","  150"
"USC00470742","2022-06-27","    0","  239","  100"
"USC00470742","2022-06-28","    0","  244","  150"
"USC00470742","2022-06-29","   66","  283","  139"
"USC00470742","2022-06-30","    0","  261","  161"
"USC00470742","2022-07-01","    0","  272","  172"
"USC00470742","2022-07-02","    0","  233","  106"
"USC00470742","2022-07-03","   23","  250","  111"
"USC00470742","2022-07-04","    0","  261","  150"
"USC00470742","2022-07-05","  114","  244","  178"
"USC00470742","2022-07-06","    5","  294","  172"
"USC00470742","2022-07-07","    0","  239","  100"
"USC00470742","2022-07-08","    0","  283","  106"
"USC00470742","2022-07-09","    0","  233","  117"
"USC00470742","2022-07-10","    0","  256","  117"
"USC00470742","2022-07-11","   18","  278","  156"
"USC00470742","2022-07-12","   28","  300","  156"
"USC00470742","2022-07-13","    5","  283","  144"
"USC00470742","2022-07-14","    0","  244","  111"
"USC00470742","2022-07-15","  147","  261","  144"
"USC00470742","2022-07-16","  284","  228","  156"
"USC00470742","2022-07-17","    0","  256","  156"
"USC00470742","2022-07-18","    0","  283","  156"
"USC00470742","2022-07-19","    0","  322","  217"
"USC00470742","2022-07-20","    0","  289","  217"
"USC00470742","2022-07-21","    0","  278","  172"
"USC00470742","2022-07-22","    0","  306","  156"
"USC00470742","2022-07-23","    0","  333","  200"
"USC00470742","2022-07-24","  452","  317","  178"
"USC00470742","2022-07-25","    0","  278","  128"
"USC00470742","2022-07-26","    0","  256","  144"
"USC00470742","2022-07-27","    0","  267","  194"
"USC00470742","2022-07-28","    0","  289","  161"
"USC00470742","2022-07-29","    0","  250","  128"
"USC00470742","2022-07-30","    0","  261","  139"
"USC00470742","2022-07-31","    0","  283","  167"
"USC00470742","2022-08-01","    0","  289","  183"
"USC00470742","2022-08-02","    0","  278","  156"
"USC00470742","2022-08-03","    0","  294","  200"
"USC00470742","2022-08-04","   20","  289","  150"
"USC00470742","2022-08-05","    0","  278","  133"
"USC00470742","2022-08-06","    0","  289","  206"
"USC00470742","2022-08-07","  300","  322","  217"
"USC00470742","2022-08-08","   10","  250","  156"
"USC00470742","2022-08-09","    0","  222","  122"
"USC00470742","2022-08-10","    0","  261","  144"
"USC00470742","2022-08-11","    0","  306","  133"
"USC00470742","2022-08-12","    0","  250","  111"
"USC00470742","2022-08-13","    0","  194","  111"
"USC00470742","2022-08-14","    8","  217","  156"
"USC00470742","2022-08-15","    5","  222","  150"
"USC00470742","2022-08-16","    0","  244","  117"
"USC00470742","2022-08-17","    0","  256","  117"
"USC00470742","2022-08-18","    0","  267","  117"
"USC00470742","2022-08-19","    0","  278",
"USC00470742","2022-08-20","   81",,
"USC00470742","2022-08-21","    0","  244","  156"
"USC00470742","2022-08-22","    0","  244","  117"
"USC00470742","2022-08-23","    0","  278","  144"
"USC00470742","2022-08-24","    0","  294","  167"
"USC00470742","2022-08-25","  188","  289","  178"
"USC00470742","2022-08-26","    5","  267","  122"
"USC00470742","2022-08-27","    0","  250","  139"
"USC00470742","2022-08-28","   46","  250","  139"
"USC00470742","2022-08-29","   46","  250","  183"
"USC00470742","2022-08-30","    0","  294","  156"
"USC00470742","2022-08-31","    0",,"  133"
"USC00470742","2022-09-01","    0","  294","  133"
"USC00470742","2022-09-02","    0","  306","  194"
"USC00470742","2022-09-03","   30","  306","  189"
"USC00470742","2022-09-04","    0","  222","  100"
"USC00470742","2022-09-05","    0","  228","  100"
"USC00470742","2022-09-06","    0","  222","  100"
"USC00470742","2022-09-07","    0","  244","  100"
"USC00470742","2022-09-08","    0","  294","  100"
"USC00470742","2022-09-09","    0","  283","  167"
"USC00470742","2022-09-10","    0","  278","  172"
"USC00470742","2022-09-11","  282","  194","  122"
"USC00470742","2022-09-12","  490","  144","  111"
"USC00470742","2022-09-13","   81","  150","  100"
"USC00470742","2022-09-14","    0","  256","  106"
"USC00470742","2022-09-15","    0","  206","  111"
"USC00470742","2022-09-16","    0","  256","  128"
"USC00470742","2022-09-17","    0","  267","  167"
"USC00470742","2022-09-18","    3","  278","  178"
"USC00470742","2022-09-19","    0","  244","  117"
"USC00470742","2022-09-20","    0","  261","  144"
"USC00470742","2022-09-21","   89","  261","  167"
"USC00470742","2022-09-22","    0","  217","   67"
"USC00470742","2022-09-23","    0","  167","   44"
"USC00470742","2022-09-24","   20","  167","   78"
"USC00470742","2022-09-25","   10","  139","  100"
"USC00470742","2022-09-26","  102","  189","   78"
"USC00470742","2022-09-27","    0",,"   33"
"USC00470742","2022-09-28","    0","  128","    6"
"USC00470742","2022-09-29","    0","  133","    6"
"USC00470742","2022-09-30","    0","  156","    6"
"USC00470742","2022-10-01","    0","  206","   39"
"USC00470742","2022-10-02","    0","  206","   39"
"USC00470742","2022-10-03","    0","  167","   33"
"USC00470742","2022-10-04","    0","  211","   56"
"USC00470742","2022-10-05","    0","  233","   56"
"USC00470742","2022-10-06","    0","  244","  100"
"USC00470742","2022-10-07","   13",,"    0"
"USC00470742","2022-10-08","    0","   94","   -6"
"USC00470742","2022-10-09","    0","  139","   -6"
"USC00470742","2022-10-10","    0","  183","    6"
"USC00470742","2022-10-11","    0","  183","    6"
"USC00470742","2022-10-12","   53","  233","   89"
"USC00470742","2022-10-13","   56","  139","   39"
"USC00470742","2022-10-14","    0","   67","    6"
"USC00470742","2022-10-15","    0","   39","  -28"
