"STATION","DATE","PRCP","TMAX","TMIN"
"USC00470516","2023-07-01","    0","  317","  183"
"USC00470516","2023-07-02","    0","  294","  161"
"USC00470516","2023-07-03","    0","  306","  139"
"USC00470516","2023-07-04","    0","  339","  172"
"USC00470516","2023-07-05","    0","  339","  172"
"USC00470516","2023-07-06","    0","  283","  128"
"USC00470516","2023-07-07","    0","  267","   72"
"USC00470516","2023-07-08","    0","  256","  133"
"USC00470516","2023-07-09","    0","  283","  100"
"USC00470516","2023-07-10","    0","  294","  161"
"USC00470516","2023-07-11","    0","  322","  156"
"USC00470516","2023-07-12","    0","  278","  128"
"USC00470516","2023-07-13","  312","  206","  150"
"USC00470516","2023-07-14","   99","  261","  161"
"USC00470516","2023-07-15","   56","  317","  156"
"USC00470516","2023-07-16","    0","  283","  133"
"USC00470516","2023-07-17","    0","  272","  106"
"USC00470516","2023-07-18","    0","  244","   89"
"USC00470516","2023-07-19","    0","  267","  111"
"USC00470516","2023-07-20","    0","  283","  161"
"USC00470516","2023-07-21","    0","  256","  106"
"USC00470516","2023-07-22","    0","  289","  139"
"USC00470516","2023-07-23","    5","  294","  117"
"USC00470516","2023-07-24","    0","  289","  128"
"USC00470516","2023-07-25","    0","  300","  139"
"USC00470516","2023-07-26","   18","  328","  183"
"USC00470516","2023-07-27","   10","  311","  172"
"USC00470516","2023-07-28","   30","  339","  194"
"USC00470516","2023-07-29","  394","  317","  178"
"USC00470516","2023-07-30","    0","  294","  128"
"USC00470516","2023-07-31","    0","  261","  106"
"USC00470516","2023-08-01","    0","  267","  111"
"USC00470516","2023-08-02","    0","  300","  139"
"USC00470516","2023-08-03","    0","  294","  172"
"USC00470516","2023-08-04","    0","  317","  183"
"USC00470516","2023-08-05","    0","  294","  139"
"USC00470516","2023-08-06","    0","  278","  139"
"USC00470516","2023-08-07","    0","  267","  144"
"USC00470516","2023-08-08","    0","  272","  150"
"USC00470516","2023-08-09","    0","  294","  111"
"USC00470516","2023-08-10","    0","  289","  128"
"USC00470516","2023-08-11","    0","  289","  161"
"USC00470516","2023-08-12","   30","  306","  133"
"USC00470516","2023-08-13","    0","  306","  122"
"USC00470516","2023-08-14","  198","  222","  161"
"USC00470516","2023-08-15","  208","  217","  117"
"USC00470516","2023-08-16","    0","  250","  111"
"USC00470516","2023-08-17","    3","  278","  156"
"USC00470516","2023-08-18","    0","  222","   83"
"USC00470516","2023-08-19","    0","  244","  111"
"USC00470516","2023-08-20","    0","  300","  183"
"USC00470516","2023-08-21","    0","  322","  150"
"USC00470516","2023-08-22","    0","  283","  156"
"USC00470516","2023-08-23","    0","  317","  167"
"USC00470516","2023-08-24","    0","  383","  239"
"USC00470516","2023-08-25","    0","  361","  206"
"USC00470516","2023-08-26","    0","  294","  172"
"USC00470516","2023-08-27","    0","  239","  111"
"USC00470516","2023-08-28","    0","  244","  111"
"USC00470516","2023-08-29","   76","  278","  150"
"USC00470516","2023-08-30","    0","  267","   72"
"USC00470516","2023-08-31","    0","  228","   56"
"USC00470516","2023-09-01","    0","  256","   67"
"USC00470516","2023-09-02","    0","  283","  139"
"USC00470516","2023-09-03","    0","  322",
"USC00470516","2023-09-04","    0","  350","  189"
"USC00470516","2023-09-05","    0","  344","  239"
"USC00470516","2023-09-06","    0","  300","  200"
"USC00470516","2023-09-07","    8","  278","  139"
"USC00470516","2023-09-08","    0","  189","  139"
"USC00470516","2023-09-09","    0","  194","   72"
"USC00470516","2023-09-10","    0","  256","   89"
"USC00470516","2023-09-11","   33","  256","  139"
"USC00470516","2023-09-12","    3","  200","  122"
"USC00470516","2023-09-13","   53","  217","   83"
"USC00470516","2023-09-14","    0","  178","   33"
"USC00470516","2023-09-15","    0","  228","   44"
"USC00470516","2023-09-16","    0","  244","  100"
"USC00470516","2023-09-17","   30","  217","  117"
"USC00470516","2023-09-18","    0","  222","   61"
"USC00470516","2023-09-19","   64","  228","   67"
"USC00470516","2023-09-20","    0","  222","  128"
"USC00470516","2023-09-21","    0","  267","  128"
"USC00470516","2023-09-22","    0","  278","  139"
"USC00470516","2023-09-23","   18","  250","  178"
"USC00470516","2023-09-24","    0","  278","  161"
"USC00470516","2023-09-25","   23","  261","  156"
"USC00470516","2023-09-26","  351","  244","  156"
"USC00470516","2023-09-27","   15","  206","  167"
"USC00470516","2023-09-28","   53","  211","  156"
"USC00470516","2023-09-29","    0","  200","  106"
"USC00470516","2023-09-30","    0","  244","  133"
"USC00470516","2023-10-01","    0","  289","  189"
"USC00470516","2023-10-02","    0","  306","  122"
"USC00470516","2023-10-03","    0","  283","  139"
"USC00470516","2023-10-04","    0","  294","  150"
"USC00470516","2023-10-05","    0","  261","   78"
"USC00470516","2023-10-06","    0","  222","   67"
"USC00470516","2023-10-07","    0","  133","   11"
"USC00470516","2023-10-08","    0","  122","   11"
"USC00470516","2023-10-09","    0","  117","   -6"
"USC00470516","2023-10-10","    0","  128","   11"
"USC00470516","2023-10-11","    0","  156","    6"
"USC00470516","2023-10-12","    0","  167","   11"
"USC00470516","2023-10-13","  152","  106","   83"
"USC00470516","2023-10-14","  310","  111","   89"
"USC00470516","2023-10-15","    0","  128","   61"
"USC00470516","2023-10-16","    0","  150","    6"
"USC00470516","2023-10-17","    0","  139","  -11"
"USC00470516","2023-10-18","    0","  172","  -11"
"USC00470516","2023-10-19","    0","  183","   72"
"USC00470516","2023-10-20","    8","  161","   72"
"USC00470516","2023-10-21","    0","  156","   28"
"USC00470516","2023-10-22","    0","  117","  -22"
"USC00470516","2023-10-23","    0","  128","    6"
"USC00470516","2023-10-24","    8","  178","   56"
"USC00470516","2023-10-25","    0","  261","  156"
"USC00470516","2023-10-26","   71","  189","  156"
"USC00470516","2023-10-27","   43","  194","  178"
"USC00470516","2023-10-28","    5","  206","   28"
"USC00470516","2023-10-29","    0","   44","   11"
"USC00470516","2023-10-30","    0","   39","  -33"
"USC00470516","2023-10-31","    0","   33","  -39"
"USC00470516","2023-11-01","    0","   17","  -72"
"USC00470516","2023-11-02","    0","   39","  -67"
"USC00470516","2023-11-03","    0","  117","    0"
"USC00470516","2023-11-04","    0","  117","  -17"
"USC00470516","2023-11-05","    0","  117","  -17"
"USC00470516","2023-11-06","    8","  150","    0"
"USC00470516","2023-11-07","    0","  194","   39"
"USC00470516","2023-11-08","   25","  100","   50"
"USC00470516","2023-11-09","    0","   83","    6"
"USC00470516","2023-11-10","    0","  111","   -6"
"USC00470516","2023-11-11","    0","   72","  -61"
"USC00470516","2023-11-12","    0","   72","  -11"
"USC00470516","2023-11-13","    0","  144","  -17"
"USC00470516","2023-11-14","    0","  150","  -56"
"USC00470516","2023-11-15","    0","  161","  -50"
"USC00470516","2023-11-16","    0","  189","   -6"
"USC00470516","2023-11-17","    0","  194","   11"
"USC00470516","2023-11-18","    0","   61","  -61"
"USC00470516","2023-11-19","    0","  133","  -39"
"USC00470516","2023-11-20","    0","  111","   11"
"USC00470516","2023-11-21","   30","   83","   11"
"USC00470516","2023-11-22","    0","   83","  -22"
"USC00470516","2023-11-23","    0","   67","  -22"
