"STATION","DATE","PRCP","TMAX","TMIN"
"USC00477576","2022-09-01","    0","  294","  139"
"USC00477576","2022-09-02","    0","  300","  133"
"USC00477576","2022-09-03","    0","  289","  189"
"USC00477576","2022-09-04","  178","  206","  128"
"USC00477576","2022-09-05","    0","  206","  122"
"USC00477576","2022-09-06","    0","  228","  106"
"USC00477576","2022-09-07","    0","  256","  106"
"USC00477576","2022-09-08","    0","  283","  133"
"USC00477576","2022-09-09","    0","  278","  144"
"USC00477576","2022-09-10","    0","  272","  150"
"USC00477576","2022-09-11","  279","  200","  128"
"USC00477576","2022-09-12","  325","  144","  106"
"USC00477576","2022-09-13","   30","  150","   94"
"USC00477576","2022-09-14","    0","  250","   94"
"USC00477576","2022-09-15","    0","  239","  106"
"USC00477576","2022-09-16","    0","  267","  106"
"USC00477576","2022-09-17","    0","  267","  144"
"USC00477576","2022-09-18","   15","  261","  161"
"USC00477576","2022-09-19","    0","  278","  128"
"USC00477576","2022-09-20","    0","  267","  122"
"USC00477576","2022-09-21","   10","  294","  172"
"USC00477576","2022-09-22","    0","  211","   72"
"USC00477576","2022-09-23","    0","  178","   39"
"USC00477576","2022-09-24","   13","  161","   33"
"USC00477576","2022-09-25","   48","  156","  100"
"USC00477576","2022-09-26","    0","  206","   67"
"USC00477576","2022-09-27","    0","  150","   22"
"USC00477576","2022-09-28","    0","  139","   28"
"USC00477576","2022-09-29","    0","  144","    0"
"USC00477576","2022-09-30","    0","  178","    6"
"USC00477576","2022-10-01","    0","  211","    0"
"USC00477576","2022-10-02","    0","  211","   50"
"USC00477576","2022-10-03","    0","  194","   39"
"USC00477576","2022-10-04","    0","  217","   33"
"USC00477576","2022-10-05","    0","  228","   28"
"USC00477576","2022-10-06","    0","  222","   33"
"USC00477576","2022-10-07","    3","  172","   28"
"USC00477576","2022-10-08","    0","  106","  -17"
"USC00477576","2022-10-09","    0","  144","  -17"
"USC00477576","2022-10-10","    0","  194","   -6"
"USC00477576","2022-10-11","    0","  206","    6"
"USC00477576","2022-10-12","   79","  222","   22"
"USC00477576","2022-10-13","   64","  156","   22"
"USC00477576","2022-10-14","    0","   83","    0"
"USC00477576","2022-10-15","    0","   89","  -28"
"USC00477576","2022-10-16","    0","  122","   11"
"USC00477576","2022-10-17","    3","   94","   11"
"USC00477576","2022-10-18","    0","   50","  -11"
"USC00477576","2022-10-19","    0","   78","  -44"
"USC00477576","2022-10-20","    0","   72","  -44"
"USC00477576","2022-10-21","    0","  172","  -28"
"USC00477576","2022-10-22","    0","  239","  -17"
"USC00477576","2022-10-23","    0","  261","   67"
"USC00477576","2022-10-24","   56","  244","  144"
"USC00477576","2022-10-25","   91","  217","   83"
"USC00477576","2022-10-26","    5","   89","   33"
