"STATION","DATE","PRCP","TMAX","TMIN"
"USW00014991","2019-05-04","    0","  222","   39"
"USW00014991","2019-05-05","    8","  194","   61"
"USW00014991","2019-05-06","   51","  161","   61"
"USW00014991","2019-05-07","    0","  172","   22"
"USW00014991","2019-05-08","  401","  100","   44"
"USW00014991","2019-05-09","   28","   94","   28"
"USW00014991","2019-05-10","    0","  150","    6"
"USW00014991","2019-05-11","    3","  183","   -5"
"USW00014991","2019-05-12","    0","  161","   11"
"USW00014991","2019-05-13","    0","  194","   11"
"USW00014991","2019-05-14","    0","  222","   28"
"USW00014991","2019-05-15","   25","  233","  100"
"USW00014991","2019-05-16","   81","  283","  111"
"USW00014991","2019-05-17","    0","  200","   56"
"USW00014991","2019-05-18","   38","  117","   67"
"USW00014991","2019-05-19","  386","   78","   28"
"USW00014991","2019-05-20","    0","  167","   11"
"USW00014991","2019-05-21","  102","  167","   56"
"USW00014991","2019-05-22","    3","  228","   89"
"USW00014991","2019-05-23","    0","  156","   94"
"USW00014991","2019-05-24","    0","  178","   89"
"USW00014991","2019-05-25","    0","  233","   89"
"USW00014991","2019-05-26","    0","  228","   56"
"USW00014991","2019-05-27","  513","  133","  106"
"USW00014991","2019-05-28","   13","  178","   89"
"USW00014991","2019-05-29","    0","  233","   83"
"USW00014991","2019-05-30","    0","  272","   83"
"USW00014991","2019-05-31","   41","  306","  133"
"USW00014991","2019-06-01","   28","  222","  111"
"USW00014991","2019-06-02","    0","  222","   56"
"USW00014991","2019-06-03","    0","  244","   67"
"USW00014991","2019-06-04","   66","  256","  128"
"USW00014991","2019-06-05","    0","  278","  139"
"USW00014991","2019-06-06","    0","  294","  106"
"USW00014991","2019-06-07","    0","  311","  122"
"USW00014991","2019-06-08","    0","  311","  122"
"USW00014991","2019-06-09","    3","  272","  122"
"USW00014991","2019-06-10","    0","  244","   89"
"USW00014991","2019-06-11","   25","  206","   67"
"USW00014991","2019-06-12","   28","  211","   89"
"USW00014991","2019-06-13","    0","  217","   33"
"USW00014991","2019-06-14","  284","  244","  111"
"USW00014991","2019-06-15","    0","  211","  144"
"USW00014991","2019-06-16","    0","  183","  106"
"USW00014991","2019-06-17","   10","  206","   78"
"USW00014991","2019-06-18","   15","  239","  122"
"USW00014991","2019-06-19","    0","  244","   89"
"USW00014991","2019-06-20","    0","  250","  133"
"USW00014991","2019-06-21","    0","  233","  133"
"USW00014991","2019-06-22","    0","  267","  100"
"USW00014991","2019-06-23","   74","  206","  167"
"USW00014991","2019-06-24","   81","  206","  133"
"USW00014991","2019-06-25","    0","  272","  100"
"USW00014991","2019-06-26","    0","  289","  139"
"USW00014991","2019-06-27","   28","  272","  139"
"USW00014991","2019-06-28","    0","  283","  172"
"USW00014991","2019-06-29","    0","  322","  144"
"USW00014991","2019-06-30","  208","  250","  172"
"USW00014991","2019-07-01","   91","  261","  178"
"USW00014991","2019-07-02","  190","  289","  178"
"USW00014991","2019-07-03","    0","  306","  150"
"USW00014991","2019-07-04","    0","  283","  183"
"USW00014991","2019-07-05","    5","  289","  172"
"USW00014991","2019-07-06","    0","  261","  194"
"USW00014991","2019-07-07","    0","  278","  172"
"USW00014991","2019-07-08","    0","  294","  156"
"USW00014991","2019-07-09","  119","  294","  189"
"USW00014991","2019-07-10","    0","  250","  178"
"USW00014991","2019-07-11","    0","  267","  139"
"USW00014991","2019-07-12","    0","  311","  128"
"USW00014991","2019-07-13","    0","  283","  172"
"USW00014991","2019-07-14","   64","  322","  161"
"USW00014991","2019-07-15","  259","  317","  194"
"USW00014991","2019-07-16","    0","  289","  178"
"USW00014991","2019-07-17","    0","  294","  167"
"USW00014991","2019-07-18","  124","  289","  206"
"USW00014991","2019-07-19","   66","  333","  200"
"USW00014991","2019-07-20","  244","  233","  139"
"USW00014991","2019-07-21","    0","  267","  122"
"USW00014991","2019-07-22","    0","  256","  156"
"USW00014991","2019-07-23","    0","  278","  133"
"USW00014991","2019-07-24","    0","  289","  150"
"USW00014991","2019-07-25","    0","  283","  133"
"USW00014991","2019-07-26","   41","  289","  194"
"USW00014991","2019-07-27","    0","  289","  183"
"USW00014991","2019-07-28","  180","  272","  156"
"USW00014991","2019-07-29","    0","  267","  144"
"USW00014991","2019-07-30","    0","  233","  122"
"USW00014991","2019-07-31","    0","  256","   83"
"USW00014991","2019-08-01","    0","  278","  122"
"USW00014991","2019-08-02","    0","  289","  156"
"USW00014991","2019-08-03","   53","  311","  178"
"USW00014991","2019-08-04","    5","  300","  156"
"USW00014991","2019-08-05","  211","  289","  172"
"USW00014991","2019-08-06","    0","  289","  156"
"USW00014991","2019-08-07","    0","  294","  172"
"USW00014991","2019-08-08","    0","  250","  128"
"USW00014991","2019-08-09","    0","  261","  100"
"USW00014991","2019-08-10","   33","  244","  161"
"USW00014991","2019-08-11","   56","  256","  167"
"USW00014991","2019-08-12","    0","  267","  161"
"USW00014991","2019-08-13","   99","  261","  167"
"USW00014991","2019-08-14","    0","  250","  133"
"USW00014991","2019-08-15","    0","  261","  128"
"USW00014991","2019-08-16","   41","  250","  161"
"USW00014991","2019-08-17","    0","  278","  144"
"USW00014991","2019-08-18","   91","  250","  122"
