"STATION","DATE","PRCP","TMAX","TMIN"
"USC00472314","2024-05-04","    0","  172","   -6"
"USC00472314","2024-05-05","   76","  183","    6"
"USC00472314","2024-05-06","    0","  183","   -6"
"USC00472314","2024-05-07","    0","  222","   50"
"USC00472314","2024-05-08","  173","  167","   89"
"USC00472314","2024-05-09","   13","  200","   56"
"USC00472314","2024-05-10","    0","  167","  -22"
"USC00472314","2024-05-11","   15","  178","   33"
"USC00472314","2024-05-12","    0","  167","   56"
"USC00472314","2024-05-13","   36","  267","   17"
"USC00472314","2024-05-14","    0","  194","   22"
"USC00472314","2024-05-15","    0","  189","    0"
"USC00472314","2024-05-16","    0","  211","   50"
"USC00472314","2024-05-17","  135","  139","   22"
"USC00472314","2024-05-18","    0","  239","   67"
"USC00472314","2024-05-19","   41","  283","   44"
"USC00472314","2024-05-20","   13","  222","  100"
"USC00472314","2024-05-21","   43","  200","  117"
"USC00472314","2024-05-22","  333","  178","  133"
"USC00472314","2024-05-23","    5","  156","   61"
"USC00472314","2024-05-24","    0","  228","   61"
"USC00472314","2024-05-25","    5","  194","   67"
"USC00472314","2024-05-26","    0","  222","   94"
"USC00472314","2024-05-27","   13","  178","   89"
"USC00472314","2024-05-28","    0","  211","   94"
"USC00472314","2024-05-29","    5","  150","   44"
"USC00472314","2024-05-30","    0","  194","   11"
"USC00472314","2024-05-31","    0","  222","   72"
"USC00472314","2024-06-01","   10","  228","  111"
"USC00472314","2024-06-02","  102","  183","   83"
"USC00472314","2024-06-03","   66","  244","  122"
"USC00472314","2024-06-04","  157","  217","  150"
"USC00472314","2024-06-05","   97","  233","   94"
"USC00472314","2024-06-06","  185","  161","   89"
"USC00472314","2024-06-07","   20","  206","   78"
"USC00472314","2024-06-08","   13","  211","   67"
"USC00472314","2024-06-09","    5","  150","   39"
"USC00472314","2024-06-10","    0","  206","   11"
"USC00472314","2024-06-11","    0","  167","   22"
"USC00472314","2024-06-12","    0","  250","   50"
"USC00472314","2024-06-13","   66","  256","   89"
"USC00472314","2024-06-14","   10","  239","   72"
"USC00472314","2024-06-15","    0","  239","   89"
"USC00472314","2024-06-16","  127","  244","  150"
"USC00472314","2024-06-17","   38","  228","  122"
"USC00472314","2024-06-18","   84","  300","  178"
"USC00472314","2024-06-19","   61","  239","  111"
"USC00472314","2024-06-20","    0","  217","   89"
"USC00472314","2024-06-21","    0","  183","  133"
"USC00472314","2024-06-22","  180","  183","  128"
"USC00472314","2024-06-23","   79","  244","  106"
"USC00472314","2024-06-24","    0","  256","   78"
"USC00472314","2024-06-25","  386","  278","  139"
"USC00472314","2024-06-26","    0","  211","   78"
"USC00472314","2024-06-27","    0","  222","   67"
"USC00472314","2024-06-28","    0","  178","  139"
"USC00472314","2024-06-29","   69","  239","   94"
"USC00472314","2024-06-30","    0","  200","   61"
"USC00472314","2024-07-01","    0","  228","   44"
"USC00472314","2024-07-02","   28","  161","  122"
"USC00472314","2024-07-03","   38","  272","  128"
"USC00472314","2024-07-04","    0","  250","  106"
"USC00472314","2024-07-05","   20","  222","  106"
"USC00472314","2024-07-06","   64","  256","   78"
"USC00472314","2024-07-07","    0","  250","  111"
"USC00472314","2024-07-08","   79","  250","  122"
"USC00472314","2024-07-09","    8","  267","  117"
"USC00472314","2024-07-10","    0","  267","  106"
"USC00472314","2024-07-11","    0","  267","  106"
"USC00472314","2024-07-12","    0","  289","  100"
"USC00472314","2024-07-13","    0","  278","  133"
"USC00472314","2024-07-14","   28","  300","  139"
"USC00472314","2024-07-15","    0","  278","  117"
"USC00472314","2024-07-16","    5","  239","  106"
"USC00472314","2024-07-17","    0","  183","   78"
"USC00472314","2024-07-18","    0","  239","   44"
"USC00472314","2024-07-19","    0","  250","   78"
"USC00472314","2024-07-20","    0","  272","  122"
"USC00472314","2024-07-21","   43","  267","  100"
"USC00472314","2024-07-22","    0","  267","   78"
"USC00472314","2024-07-23","   99","  178","  128"
"USC00472314","2024-07-24","   25","  228","   83"
"USC00472314","2024-07-25","    0","  256","   56"
"USC00472314","2024-07-26","    0","  267","   83"
"USC00472314","2024-07-27","    0","  283","  150"
"USC00472314","2024-07-28","    0","  289","  194"
"USC00472314","2024-07-29","   13","  278","  161"
"USC00472314","2024-07-30","   43","  278","  139"
"USC00472314","2024-07-31","    8","  306","  122"
"USC00472314","2024-08-01","    0","  283","  161"
"USC00472314","2024-08-02","   13","  311","  133"
"USC00472314","2024-08-03","    0","  289","  128"
"USC00472314","2024-08-04","   53","  244","  156"
"USC00472314","2024-08-05","    0","  211","  117"
"USC00472314","2024-08-06","   43","  239","   83"
"USC00472314","2024-08-07","    0","  239","   50"
"USC00472314","2024-08-08","    5","  217","  106"
"USC00472314","2024-08-09","    8","  167","  111"
"USC00472314","2024-08-10","    0","  156","  100"
"USC00472314","2024-08-11","    0","  250","   83"
"USC00472314","2024-08-12","    0","  278","   78"
"USC00472314","2024-08-13","    0","  283","   89"
"USC00472314","2024-08-14","   38","  283","  100"
"USC00472314","2024-08-15","    0","  211","  144"
"USC00472314","2024-08-16","  257","  267","  161"
"USC00472314","2024-08-17","  168","  222","  161"
"USC00472314","2024-08-18","    0","  233","  100"
"USC00472314","2024-08-19","    0","  233","   78"
"USC00472314","2024-08-20","    0","  217","   22"
"USC00472314","2024-08-21","    0","  233","   50"
"USC00472314","2024-08-22","    0","  239","   83"
"USC00472314","2024-08-23","   15","  239","  133"
"USC00472314","2024-08-24","   43","  272","  144"
"USC00472314","2024-08-25","    0","  294","  183"
"USC00472314","2024-08-26","    0","  328","  200"
"USC00472314","2024-08-27","  112","  228","  144"
"USC00472314","2024-08-28","   36","  189","  122"
"USC00472314","2024-08-29","    0","  239","  128"
"USC00472314","2024-08-30","   74","  233","  139"
"USC00472314","2024-08-31","    0","  261","  117"
"USC00472314","2024-09-01","   64","  194","   61"
"USC00472314","2024-09-02","    0","  217","   33"
"USC00472314","2024-09-03","    0","  222","   56"
"USC00472314","2024-09-04","    0","  250","  117"
"USC00472314","2024-09-05","    0","  211","   94"
"USC00472314","2024-09-06","  112","  139","   17"
"USC00472314","2024-09-07","    0","  161","    0"
"USC00472314","2024-09-08","    0","  228","   61"
"USC00472314","2024-09-09","    0","  250","   94"
"USC00472314","2024-09-10","    0","  250","  111"
"USC00472314","2024-09-11","    0","  261","  117"
"USC00472314","2024-09-12","    0","  278","   83"
"USC00472314","2024-09-13","    0","  267","   94"
"USC00472314","2024-09-14","    0","  250","   94"
"USC00472314","2024-09-15","    0","  283","  161"
"USC00472314","2024-09-16","    0","  283","  122"
"USC00472314","2024-09-17","    0","  283","  111"
"USC00472314","2024-09-18","    0","  272","   89"
"USC00472314","2024-09-19","    0","  267","   94"
"USC00472314","2024-09-20","   10","  256","   89"
"USC00472314","2024-09-21","    0","  211","   61"
"USC00472314","2024-09-22","   13","  178","   22"
"USC00472314","2024-09-23","    0","  189","    0"
"USC00472314","2024-09-24","    0","  206","   28"
"USC00472314","2024-09-25","    0","  228","   28"
"USC00472314","2024-09-26","    0","  261","   56"
"USC00472314","2024-09-27","    0","  267","   67"
"USC00472314","2024-09-28","    0","  283","   72"
"USC00472314","2024-09-29","    0","  250","   50"
"USC00472314","2024-09-30","    0","  244","   39"
"USC00472314","2024-10-01","    0","  150","    6"
"USC00472314","2024-10-02","    0","  206","   17"
"USC00472314","2024-10-03","    0","  167","   17"
"USC00472314","2024-10-04","    0","  178","  -28"
"USC00472314","2024-10-05","    0","  211","   -6"
"USC00472314","2024-10-06","  323","  111","   33"
"USC00472314","2024-10-07","    0","  178","  -22"
"USC00472314","2024-10-08","    0","  144","  -17"
"USC00472314","2024-10-09","    0","  161","  -33"
"USC00472314","2024-10-10","    0","  194","  -11"
"USC00472314","2024-10-11","    0","  211","   17"
"USC00472314","2024-10-12","    0","  100","  -11"
"USC00472314","2024-10-13","   38","   67","   33"
"USC00472314","2024-10-14","  107","   78","    0"
"USC00472314","2024-10-15","    8","   67","  -33"
"USC00472314","2024-10-16","    0","  128","  -44"
"USC00472314","2024-10-17","    0","  172","  -11"
"USC00472314","2024-10-18","    0","  206","   44"
"USC00472314","2024-10-19","    0","  217","   89"
"USC00472314","2024-10-20","    0","  233","   83"
"USC00472314","2024-10-21","    0","  256","   56"
"USC00472314","2024-10-22","    0","  222","   78"
"USC00472314","2024-10-23","   13","  106","  -17"
"USC00472314","2024-10-24","   41","  161","  -28"
"USC00472314","2024-10-25","   10","  111","   33"
