"STATION","DATE","PRCP","TMAX","TMIN"
"USC00472973","2023-03-01","    5","   78","  -22"
"USC00472973","2023-03-02","    0","   78","  -28"
"USC00472973","2023-03-03","    0","   22","  -33"
"USC00472973","2023-03-04","    0","   28","  -61"
"USC00472973","2023-03-05","    0","   61","  -61"
"USC00472973","2023-03-06","  135","   72","  -61"
"USC00472973","2023-03-07","    0","   17","  -28"
"USC00472973","2023-03-08","    0","   61","  -28"
"USC00472973","2023-03-09","    0","   78","  -28"
"USC00472973","2023-03-10","  119","   28","  -33"
"USC00472973","2023-03-11","    5","   17","  -39"
"USC00472973","2023-03-12","   58","    6","  -39"
"USC00472973","2023-03-13","   28","   28","  -61"
"USC00472973","2023-03-14","    0","  -17"," -189"
"USC00472973","2023-03-15","    0","   17"," -189"
"USC00472973","2023-03-16","    0","   89","  -33"
"USC00472973","2023-03-17","  127","   72","  -56"
"USC00472973","2023-03-18","    0","  -44"," -139"
"USC00472973","2023-03-19","    0","  -39"," -128"
"USC00472973","2023-03-20","    0","   39"," -100"
"USC00472973","2023-03-21","    0","   89","  -22"
"USC00472973","2023-03-22","    3","   83","  -22"
"USC00472973","2023-03-23","    0","  100","   -6"
"USC00472973","2023-03-24","    0","   67","  -72"
"USC00472973","2023-03-25","    0","   89","  -72"
"USC00472973","2023-03-26","    0","   83","  -61"
"USC00472973","2023-03-27","    0","   89","  -61"
"USC00472973","2023-03-28","    0","   94","  -56"
"USC00472973","2023-03-29","    0","   72","  -61"
"USC00472973","2023-03-30","    0","    6"," -122"
"USC00472973","2023-03-31","  165","   56"," -106"
"USC00472973","2023-04-01","  457","   56","    0"
"USC00472973","2023-04-02","    0","   56","  -39"
"USC00472973","2023-04-03","    0","  133","   -6"
"USC00472973","2023-04-04","    0","  156","   11"
"USC00472973","2023-04-05","  203","   50","   11"
"USC00472973","2023-04-06","    0","   94","  -33"
"USC00472973","2023-04-07","    0","   78","  -44"
"USC00472973","2023-04-08","    0","  106","  -17"
"USC00472973","2023-04-09","    0","  156","    6"
"USC00472973","2023-04-10","    0","  211","   11"
"USC00472973","2023-04-11","    0","  239","   78"
"USC00472973","2023-04-12","    0","  256","  106"
"USC00472973","2023-04-13","    0","  300","  111"
"USC00472973","2023-04-14","    0","  289","   78"
"USC00472973","2023-04-15","    0","  278","   83"
"USC00472973","2023-04-16","  152","  278","   61"
"USC00472973","2023-04-17","  168","   61","  -28"
"USC00472973","2023-04-18","   36","    6","  -28"
"USC00472973","2023-04-19","    0","  100","   -6"
"USC00472973","2023-04-20","  140","   50","   17"
"USC00472973","2023-04-21","   51","  178","   17"
"USC00472973","2023-04-22","    0","  106","  -17"
"USC00472973","2023-04-23","   25","   72","   -6"
"USC00472973","2023-04-24","    0","   67","  -50"
"USC00472973","2023-04-25","    8","   83","  -33"
"USC00472973","2023-04-26","    0","   78","  -33"
"USC00472973","2023-04-27","    0","  128","  -22"
"USC00472973","2023-04-28","    0","  189","   50"
"USC00472973","2023-04-29","   30","  211","   50"
"USC00472973","2023-04-30","   43","   67","   11"
"USC00472973","2023-05-01","   76","   50","   17"
"USC00472973","2023-05-02","    3","   94","   33"
"USC00472973","2023-05-03","    0","  106","  -11"
"USC00472973","2023-05-04","    0","  161","   22"
"USC00472973","2023-05-05","    0","  239","   94"
"USC00472973","2023-05-06","   13","  239","  122"
"USC00472973","2023-05-07","    0","  161","   67"
"USC00472973","2023-05-08","    3","  244","  100"
"USC00472973","2023-05-09","  132","  128","  100"
"USC00472973","2023-05-10","    0","  217","   83"
"USC00472973","2023-05-11","    0","  261","  106"
"USC00472973","2023-05-12","    0","  278","  139"
"USC00472973","2023-05-13","    0","  194","  156"
"USC00472973","2023-05-14","    3","  211","  117"
"USC00472973","2023-05-15","  124",,"    6"
"USC00472973","2023-05-16","    0","  233","   28"
"USC00472973","2023-05-17","    0","  261","   44"
"USC00472973","2023-05-18","    0",,"   44"
"USC00472973","2023-05-19","    5","  244","   56"
"USC00472973","2023-05-20","    0","  156","   39"
"USC00472973","2023-05-21","    0","  228","   50"
"USC00472973","2023-05-22","    0","  256","   78"
"USC00472973","2023-05-23","    0","  267","   83"
"USC00472973","2023-05-24","    0","  283","  100"
"USC00472973","2023-05-25","    0","  211","   94"
"USC00472973","2023-05-26","    0","  222","   11"
"USC00472973","2023-05-27","    0","  250","   33"
"USC00472973","2023-05-28","    0","  272","   33"
"USC00472973","2023-05-29","    0","  278","   89"
"USC00472973","2023-05-30","    0","  283","   94"
"USC00472973","2023-05-31","    0","  317","  144"
"USC00472973","2023-06-01","    0","  328","  178"
"USC00472973","2023-06-02","   74","  322","  167"
"USC00472973","2023-06-03","    0","  333","  150"
"USC00472973","2023-06-04","    0","  333","  167"
"USC00472973","2023-06-05","    0","  283","  128"
"USC00472973","2023-06-06","    0","  306","  156"
"USC00472973","2023-06-07","    0","  256","  133"
"USC00472973","2023-06-08","    0","  250","   56"
"USC00472973","2023-06-09","    0","  250","   56"
"USC00472973","2023-06-10","    0","  278","  117"
"USC00472973","2023-06-11","   10","  283","   94"
"USC00472973","2023-06-12","    0","  144","   11"
"USC00472973","2023-06-13","   13","  217","   56"
"USC00472973","2023-06-14","   36",,"  117"
"USC00472973","2023-06-15","    0","  283","  128"
"USC00472973","2023-06-16","    0","  183","   83"
"USC00472973","2023-06-17","    0","  256","  100"
"USC00472973","2023-06-18","    0","  283","  139"
"USC00472973","2023-06-19","    3","  289","  178"
"USC00472973","2023-06-20","    0","  317","  156"
"USC00472973","2023-06-21","    0","  311","  128"
"USC00472973","2023-06-22","    0","  333","  133"
"USC00472973","2023-06-23","    0","  322","  133"
"USC00472973","2023-06-24","    0","  328","  150"
"USC00472973","2023-06-25","  183","  339","  183"
"USC00472973","2023-06-26","   38","  261","  172"
"USC00472973","2023-06-27","    0","  228","  122"
"USC00472973","2023-06-28","    0","  278","  133"
