"STATION","DATE","PRCP","TMAX","TMIN"
"USC00473800","2023-05-06","    5","  172","   67"
"USC00473800","2023-05-07","   66","  133","   89"
"USC00473800","2023-05-08","    0","  156","   83"
"USC00473800","2023-05-09","    5","  183","   83"
"USC00473800","2023-05-10","    5","  211","  106"
"USC00473800","2023-05-11","   15","  228","   94"
"USC00473800","2023-05-12","    0","  261","   94"
"USC00473800","2023-05-13","    0","  211","   78"
"USC00473800","2023-05-14","    0","  222","   72"
"USC00473800","2023-05-15","    0","  189","   17"
"USC00473800","2023-05-16","    0","  244","   89"
"USC00473800","2023-05-17","    0","  150","   17"
"USC00473800","2023-05-18","    0","  172","   44"
"USC00473800","2023-05-19","   64","  189","   67"
"USC00473800","2023-05-20","    0","  117","   28"
"USC00473800","2023-05-21","    0","  206","   56"
"USC00473800","2023-05-22","    0","  194","   72"
"USC00473800","2023-05-23","    0","  250","  122"
"USC00473800","2023-05-24","    0","  272","   61"
"USC00473800","2023-05-25","    0","  161","   39"
"USC00473800","2023-05-26","    0","  217","   78"
"USC00473800","2023-05-27","    0","  250","   72"
"USC00473800","2023-05-28","    0","  267","   67"
"USC00473800","2023-05-29","    0","  278","   78"
"USC00473800","2023-05-30","    0","  272","  128"
"USC00473800","2023-05-31","    0","  278","  172"
"USC00473800","2023-06-01","    0","  306","  178"
"USC00473800","2023-06-02","    0","  300","  183"
"USC00473800","2023-06-03","    0","  289","  156"
"USC00473800","2023-06-04","    0","  294","  133"
"USC00473800","2023-06-05","    0","  283","  156"
"USC00473800","2023-06-06","    0","  228","  111"
"USC00473800","2023-06-07","    0","  194","   61"
"USC00473800","2023-06-08","    0","  211","   33"
"USC00473800","2023-06-09","    0","  211","   28"
"USC00473800","2023-06-10","    0","  256","  122"
"USC00473800","2023-06-11","    0","  150","   39"
"USC00473800","2023-06-12","    0","  144","   33"
"USC00473800","2023-06-13","   33","  128","   94"
"USC00473800","2023-06-14","    0","  206","   89"
"USC00473800","2023-06-15","    0","  200","   67"
"USC00473800","2023-06-16","    0","  128","   33"
"USC00473800","2023-06-17","    0","  211","   78"
"USC00473800","2023-06-18","    0","  261","  117"
"USC00473800","2023-06-19","    0","  267","  156"
"USC00473800","2023-06-20","    0","  272","  161"
"USC00473800","2023-06-21","    0","  300","  128"
"USC00473800","2023-06-22","    0","  306","  161"
"USC00473800","2023-06-23","    0","  306","  194"
"USC00473800","2023-06-24","   56","  294","  161"
"USC00473800","2023-06-25","  216","  272","  167"
"USC00473800","2023-06-26","  140","  211","   78"
"USC00473800","2023-06-27","    0","  178","   94"
"USC00473800","2023-06-28","   18","  239","  133"
"USC00473800","2023-06-29","  135","  228","  117"
"USC00473800","2023-06-30","   38","  256","  139"
"USC00473800","2023-07-01","    0","  261","  139"
"USC00473800","2023-07-02","    0","  244","  117"
"USC00473800","2023-07-03","    0","  239","  128"
"USC00473800","2023-07-04","    3","  311","  156"
"USC00473800","2023-07-05","   13","  272","  161"
"USC00473800","2023-07-06","    0","  233","  106"
"USC00473800","2023-07-07","    0","  189","   78"
"USC00473800","2023-07-08","    0","  228","  117"
"USC00473800","2023-07-09","    0","  194","   83"
"USC00473800","2023-07-10","    0","  261","  144"
"USC00473800","2023-07-11","    0","  217","   72"
"USC00473800","2023-07-12","    0","  206","  106"
"USC00473800","2023-07-13","    0","  217","  144"
