"STATION","DATE","PRCP","TMAX","TMIN"
"USC00473511","2023-05-06","    0","  211","   72"
"USC00473511","2023-05-07","   36","  178","  111"
"USC00473511","2023-05-08","   99","  206","  100"
"USC00473511","2023-05-09","   15","  206","  100"
"USC00473511","2023-05-10","   38","  244","  133"
"USC00473511","2023-05-11","    0","  256","   89"
"USC00473511","2023-05-12","    0","  250","  150"
"USC00473511","2023-05-13","    0","  256","  133"
"USC00473511","2023-05-14","    0","  233","  100"
"USC00473511","2023-05-15","    0","  233","    6"
"USC00473511","2023-05-16","    0","  261","   61"
"USC00473511","2023-05-17","    0","  206","   22"
"USC00473511","2023-05-18","    0","  194","  100"
"USC00473511","2023-05-19","   46","  172","   72"
"USC00473511","2023-05-20","    0","  222","    0"
"USC00473511","2023-05-21","    0","  244","   44"
"USC00473511","2023-05-22","    0","  256","   67"
"USC00473511","2023-05-23","    0","  278","   89"
"USC00473511","2023-05-24","    0","  283","   94"
"USC00473511","2023-05-25","   36","  194","   50"
"USC00473511","2023-05-26","    0","  233","   39"
"USC00473511","2023-05-27","    0","  261","   33"
"USC00473511","2023-05-28","    0","  278","   61"
"USC00473511","2023-05-29","    0","  289","   78"
"USC00473511","2023-05-30","    0","  289","  139"
"USC00473511","2023-05-31","    0","  311","  156"
"USC00473511","2023-06-01","    0","  317","  172"
"USC00473511","2023-06-02","    0","  328","  172"
"USC00473511","2023-06-03","    0","  333","  150"
"USC00473511","2023-06-04","    0","  333","  144"
"USC00473511","2023-06-05","    0","  317","  161"
"USC00473511","2023-06-06","    0","  289","  133"
"USC00473511","2023-06-07","    0","  250","  133"
"USC00473511","2023-06-08","    0","  250","   44"
"USC00473511","2023-06-09","    0","  256","   44"
"USC00473511","2023-06-10","   64","  283","  150"
"USC00473511","2023-06-11","    0","  178","   67"
"USC00473511","2023-06-12","    0","  222","   33"
"USC00473511","2023-06-13","    0","  261","  100"
"USC00473511","2023-06-14","    0","  283","   89"
"USC00473511","2023-06-15","    0","  228","   83"
"USC00473511","2023-06-16","    0","  233","   44"
"USC00473511","2023-06-17","    0","  267","   94"
"USC00473511","2023-06-18","    0","  278","  117"
"USC00473511","2023-06-19","    5","  267","  178"
"USC00473511","2023-06-20","    0","  300","  194"
"USC00473511","2023-06-21","    0","  317","  133"
"USC00473511","2023-06-22","    0","  322","  150"
"USC00473511","2023-06-23","    0","  322","  167"
"USC00473511","2023-06-24","   86","  333","  189"
"USC00473511","2023-06-25","  107","  300","  172"
"USC00473511","2023-06-26","   20","  222","  150"
"USC00473511","2023-06-27","    0","  261","  106"
"USC00473511","2023-06-28","   53","  283","  161"
"USC00473511","2023-06-29","   89","  261","  167"
"USC00473511","2023-06-30","   10","  289","  139"
"USC00473511","2023-07-01","    0","  283","  139"
"USC00473511","2023-07-02","    0","  300","  139"
