"STATION","DATE","PRCP","TMAX","TMIN"
"USW00004864","2023-05-06","  124","  128","   78"
"USW00004864","2023-05-07","   13","  222","   83"
"USW00004864","2023-05-08",,"  133","   78"
"USW00004864","2023-05-09",,"  217","   44"
"USW00004864","2023-05-10",,"  239","  106"
"USW00004864","2023-05-11",,"  261","   78"
"USW00004864","2023-05-12",,"  228","  111"
"USW00004864","2023-05-13",,"  228","  128"
"USW00004864","2023-05-14",,"  172","   61"
"USW00004864","2023-06-01",,"  306","  167"
"USW00004864","2023-06-02","   13","  272","  172"
"USW00004864","2023-06-03","   79","  300","  133"
"USW00004864","2023-06-04",,"  256","  122"
"USW00004864","2023-06-05",,"  272","  144"
"USW00004864","2023-06-06",,"  222","  122"
"USW00004864","2023-06-07",,"  217","   50"
"USW00004864","2023-06-08",,"  228","   28"
"USW00004864","2023-06-09",,"  261","   50"
"USW00004864","2023-06-10","   41","  239","   89"
"USW00004864","2023-06-11",,"  161","   61"
"USW00004864","2023-06-12",,"  178","    6"
"USW00004864","2023-06-13","   66","  178","   89"
"USW00004864","2023-06-14",,"  244","  117"
"USW00004864","2023-06-15","    8","  139","   89"
"USW00004864","2023-06-16",,"  233","   61"
"USW00004864","2023-06-17",,"  261","   83"
"USW00004864","2023-06-18",,"  261","  122"
"USW00004864","2023-06-19",,"  278","  156"
"USW00004864","2023-06-20",,"  278","  133"
"USW00004864","2023-06-21",,"  300","  139"
"USW00004864","2023-06-22",,"  300","  139"
"USW00004864","2023-06-23",,"  294","  128"
"USW00004864","2023-06-24",,"  306","  156"
"USW00004864","2023-06-25","  211","  228","  156"
"USW00004864","2023-06-26","    8","  178","  139"
"USW00004864","2023-06-27",,"  256","  106"
"USW00004864","2023-06-28",,"  239","  133"
"USW00004864","2023-06-29",,"  267","  144"
"USW00004864","2023-06-30",,"  278","  128"
"USW00004864","2023-07-01",,"  278","  128"
"USW00004864","2023-07-02",,"  267","  139"
"USW00004864","2023-07-03",,"  306","  117"
"USW00004864","2023-07-04",,"  300","  161"
"USW00004864","2023-07-05","   79","  239","  183"
"USW00004864","2023-07-06",,"  222","  111"
"USW00004864","2023-07-07",,"  228","   61"
"USW00004864","2023-07-08","    3","  256","  100"
"USW00004864","2023-07-09",,"  256","   83"
"USW00004864","2023-07-10","   97","  306","  139"
"USW00004864","2023-07-11","    3","  222","   89"
"USW00004864","2023-07-12","   61","  200","  128"
"USW00004864","2023-07-13",,"  222","   89"
"USW00004864","2023-07-14","   10","  261","  144"
"USW00004864","2023-07-15","   20","  244","  133"
"USW00004864","2023-07-16","   13","  233","  117"
"USW00004864","2023-07-17",,"  206","   94"
"USW00004864","2023-07-18",,"  228","   89"
"USW00004864","2023-07-19","   81","  239","  100"
"USW00004864","2023-07-20","   15","  217","  128"
"USW00004864","2023-07-21","    8","  261","   72"
"USW00004864","2023-07-22","    5","  261","  106"
"USW00004864","2023-07-23",,"  267","  100"
"USW00004864","2023-07-24","  122","  261","  111"
"USW00004864","2023-07-25","   28","  289","  117"
"USW00004864","2023-07-26","   20","  278","  183"
"USW00004864","2023-07-27","  224","  300","  144"
"USW00004864","2023-07-28","  295","  256","  156"
"USW00004864","2023-07-29",,"  256","  122"
"USW00004864","2023-07-30",,"  233","   83"
"USW00004864","2023-07-31",,"  239","   78"
"USW00004864","2023-09-01",,"  267","   94"
"USW00004864","2023-09-02",,"  278","  178"
"USW00004864","2023-09-03",,"  344","  206"
"USW00004864","2023-09-04",,"  333","  150"
"USW00004864","2023-09-05","   10","  294","  183"
"USW00004864","2023-09-06","  196","  222","  128"
"USW00004864","2023-09-07",,"  150","  100"
"USW00004864","2023-09-08",,"  200","   94"
"USW00004864","2023-09-09",,"  233","   72"
"USW00004864","2023-09-10","  165","  161","  122"
"USW00004864","2023-09-11","   25","  156","   83"
"USW00004864","2023-09-12",,"  144","   50"
"USW00004864","2023-09-13",,"  139","   28"
"USW00004864","2023-09-14",,"  206","   28"
"USW00004864","2023-09-15","    3","  217","   78"
"USW00004864","2023-09-16",,"  217","   78"
"USW00004864","2023-09-17",,"  172","   39"
"USW00004864","2023-10-01","    3","  278","  144"
"USW00004864","2023-10-02",,"  267","  111"
"USW00004864","2023-10-03",,"  261","  122"
"USW00004864","2023-10-04",,"  228","  144"
"USW00004864","2023-10-05","    3","  183","   50"
"USW00004864","2023-10-06","   18","  117","   39"
"USW00004864","2023-10-07",,"  111","    0"
"USW00004864","2023-10-08",,"   94","  -10"
"USW00004864","2023-10-09",,"   83","   -5"
"USW00004864","2023-10-10",,"   83","   33"
"USW00004864","2023-10-11",,"  117","  -10"
"USW00004864","2023-10-12",,"  122","   -5"
"USW00004864","2023-10-13","   89","   78","   50"
"USW00004864","2023-10-14",,"  111","   50"
"USW00004864","2023-10-15",,"  111","   28"
"USW00004864","2023-10-16",,"  122","    6"
"USW00004864","2023-10-17",,"  133","  -16"
"USW00004864","2023-10-18",,"  161","   39"
"USW00004864","2023-10-19","   79","  122","   44"
"USW00004864","2023-10-20",,"  122","    6"
"USW00004864","2023-10-21","   61","   44","    0"
"USW00004864","2023-10-22",,"   83","  -32"
"USW00004864","2023-10-23","   10","   89","    0"
"USW00004864","2023-10-24","  480","  150","   72"
"USW00004864","2023-10-25","   46","  144","   89"
"USW00004864","2023-10-26","   89","  117","   72"
"USW00004864","2023-10-27","    5","  144","   22"
"USW00004864","2023-10-28",,"   22","    0"
"USW00004864","2023-10-29",,"   22","  -32"
"USW00004864","2023-10-30",,"   -5","  -66"
"USW00004864","2023-10-31",,"   17","  -55"
