"STATION","DATE","PRCP","TMAX","TMIN"
"USC00478376","2019-05-04","    0","  133","    6"
"USC00478376","2019-05-05","    0","  222","   17"
"USC00478376","2019-05-06","    5","  222","   56"
"USC00478376","2019-05-07","    8","  133","   28"
"USC00478376","2019-05-08","    0","  133","   11"
"USC00478376","2019-05-09","  318","   94","   28"
"USC00478376","2019-05-10","   15","   78","   11"
"USC00478376","2019-05-11","    0","  133","   -6"
"USC00478376","2019-05-12","    0","  161","    0"
"USC00478376","2019-05-13","    0","  150","    6"
"USC00478376","2019-05-14","    0","  172","   28"
"USC00478376","2019-05-15","    0","  211","   67"
"USC00478376","2019-05-16","    5","  239","   78"
"USC00478376","2019-05-17","    0","  261","   56"
"USC00478376","2019-05-18","   18","  172","   44"
"USC00478376","2019-05-19","  305","   72","   39"
"USC00478376","2019-05-20","   89","   72","   33"
"USC00478376","2019-05-21","    0","  161","   28"
"USC00478376","2019-05-22","   38","  167","   44"
"USC00478376","2019-05-23","   89","  161","   72"
"USC00478376","2019-05-24","    0","  161","   78"
"USC00478376","2019-05-25","   43","  133","   94"
"USC00478376","2019-05-26","    0","  267","   83"
"USC00478376","2019-05-27","    0","  222","   89"
"USC00478376","2019-05-28","  274","  106","   83"
"USC00478376","2019-05-29","    0","  156","   78"
"USC00478376","2019-05-30","    0","  228","   89"
"USC00478376","2019-05-31","    0","  256","   78"
"USC00478376","2019-06-01","  178","  306","   78"
"USC00478376","2019-06-02","    3","  178","   78"
"USC00478376","2019-06-03","    0","  178","   22"
"USC00478376","2019-06-04","    0","  178","   50"
"USC00478376","2019-06-05","   13","  239","   78"
"USC00478376","2019-06-06","   10","  244","  122"
"USC00478376","2019-06-07","    0","  244","  117"
"USC00478376","2019-06-08","    0","  272","  117"
"USC00478376","2019-06-09","    0","  267","  117"
"USC00478376","2019-06-10","    8","  178","  117"
"USC00478376","2019-06-11","   25","  217","   61"
"USC00478376","2019-06-12","   89","  233","   72"
"USC00478376","2019-06-13","  165","  150","   78"
"USC00478376","2019-06-14","    0","  194","   67"
"USC00478376","2019-06-15","  287","  144","   83"
"USC00478376","2019-06-16","    5","  183","   83"
"USC00478376","2019-06-17","   20","  172","   67"
"USC00478376","2019-06-18","    3","  217","   72"
"USC00478376","2019-06-19","    0","  228","  106"
"USC00478376","2019-06-20","    0","  217","  111"
"USC00478376","2019-06-21","    0","  222","   78"
"USC00478376","2019-06-22","    0","  233","   83"
"USC00478376","2019-06-23","    0","  228","   83"
"USC00478376","2019-06-24","   33","  233","  150"
"USC00478376","2019-06-25","   99","  244","  156"
"USC00478376","2019-06-26","    0","  267","  144"
"USC00478376","2019-06-27","    0","  278","  128"
"USC00478376","2019-06-28","  191","  289","  139"
"USC00478376","2019-06-29","    0","  261","  161"
"USC00478376","2019-06-30","    0","  289","  156"
"USC00478376","2019-07-01","    3","  239","  156"
"USC00478376","2019-07-02","   38","  256","  178"
"USC00478376","2019-07-03","   94","  256","  161"
"USC00478376","2019-07-04","    0","  283","  161"
"USC00478376","2019-07-05","    3","  294","  161"
"USC00478376","2019-07-06","   25","  289","  178"
"USC00478376","2019-07-07","   28","  244","  100"
"USC00478376","2019-07-08","    0","  228","   56"
"USC00478376","2019-07-09","    0","  250","  111"
"USC00478376","2019-07-10","   13","  272","  128"
"USC00478376","2019-07-11","    0","  294","  161"
"USC00478376","2019-07-12","    0","  294","  106"
"USC00478376","2019-07-13","    0","  283","  117"
"USC00478376","2019-07-14","    0","  267","  117"
"USC00478376","2019-07-15","  246","  278","  117"
"USC00478376","2019-07-16","  173","  294","  183"
"USC00478376","2019-07-17","    0","  289","  178"
"USC00478376","2019-07-18","   20","  261","  178"
"USC00478376","2019-07-19","   23","  256","  194"
"USC00478376","2019-07-20","   89","  317","  206"
"USC00478376","2019-07-21","  127","  272","  144"
"USC00478376","2019-07-22","    0","  244","  128"
"USC00478376","2019-07-23","    0","  244","  128"
"USC00478376","2019-07-24","    0","  239","  111"
"USC00478376","2019-07-25","  127","  267","  111"
"USC00478376","2019-07-26","    0","  272","  144"
"USC00478376","2019-07-27","    5","  256","  178"
"USC00478376","2019-07-28","    0","  278","  156"
"USC00478376","2019-07-29","  236","  278","  167"
"USC00478376","2019-07-30","    0","  256","  106"
"USC00478376","2019-07-31","    0","  222","  100"
"USC00478376","2019-08-01","    0","  228","   94"
"USC00478376","2019-08-02","    0","  250","  100"
"USC00478376","2019-08-03","  165","  278","  133"
"USC00478376","2019-08-04","  147","  283","  150"
"USC00478376","2019-08-05","    0","  261","  156"
"USC00478376","2019-08-06","  328","  278","  144"
"USC00478376","2019-08-07","    0","  256","  144"
"USC00478376","2019-08-08","   66","  272","  150"
"USC00478376","2019-08-09","    0","  228","  117"
"USC00478376","2019-08-10","    0","  239","  111"
"USC00478376","2019-08-11","    0","  250","  150"
"USC00478376","2019-08-12","    0","  228","  156"
"USC00478376","2019-08-13","    0","  250","  156"
"USC00478376","2019-08-14","    0","  200","  139"
"USC00478376","2019-08-15","    0","  222","   72"
"USC00478376","2019-08-16","    0","  233","  100"
"USC00478376","2019-08-17","    0","  256","  111"
"USC00478376","2019-08-18","    0","  233","  106"
"USC00478376","2019-08-19","    0","  244","   89"
"USC00478376","2019-08-20","    0","  239","   94"
"USC00478376","2019-08-21","    0","  244","  100"
"USC00478376","2019-08-22","    0","  233","  100"
"USC00478376","2019-08-23","    0","  233","   83"
"USC00478376","2019-08-24","    0","  206","   83"
"USC00478376","2019-08-25","    0","  217","   83"
"USC00478376","2019-08-26","    0","  228","  106"
"USC00478376","2019-08-27","  127","  189","  150"
"USC00478376","2019-08-28","   25","  233","  111"
"USC00478376","2019-08-29","    0","  178","   78"
"USC00478376","2019-08-30","   13","  222","   78"
"USC00478376","2019-08-31","    0","  206","   72"
"USC00478376","2019-09-01","    0","  200","   67"
"USC00478376","2019-09-02","    0","  217","   67"
"USC00478376","2019-09-03","  201","  222","  133"
"USC00478376","2019-09-04","  236","  239","  106"
"USC00478376","2019-09-05","    0","  183","   72"
"USC00478376","2019-09-06","  104","  183","   72"
"USC00478376","2019-09-07","    0","  183","   72"
"USC00478376","2019-09-08","    0","  189","   89"
"USC00478376","2019-09-09","    0","  156","   72"
"USC00478376","2019-09-10","  193","  183","   78"
"USC00478376","2019-09-11","    0","  256","  156"
"USC00478376","2019-09-12","  191","  156","  117"
"USC00478376","2019-09-13","  213","  183","  128"
"USC00478376","2019-09-14","    0","  217","  106"
"USC00478376","2019-09-15","   43","  200","  100"
"USC00478376","2019-09-16","    0","  189","  144"
"USC00478376","2019-09-17","    0","  244","  144"
"USC00478376","2019-09-18","    0","  256","  128"
"USC00478376","2019-09-19","  165","  256","  128"
"USC00478376","2019-09-20","  287","  211","  161"
"USC00478376","2019-09-21","    0","  239","  161"
"USC00478376","2019-09-22","   25","  239","  167"
