source_url,source_file,retrieval_date,waterbody,county,creel_year,species,directed_effort_hours,pct_of_directed_effort,total_catch,catch_rate_hrs_per_fish,total_harvest,harvest_rate_hrs_per_fish,harvest_rate_fish_per_hour,mean_harvest_length_in
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Walleye,2641,8.3,220,20.3,85,34.6,0.0289,18.4
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Northern Pike,3397,10.7,374,9.8,114,29.8,0.0336,23.4
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Muskellunge,462,1.5,0,0.0,0,0.0,,
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Largemouth Bass,3459,10.9,3356,2.0,121,59.4,0.0168,15.0
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Yellow Perch,7972,25.1,3064,2.8,837,9.5,0.1053,8.9
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Bluegill,7702,24.3,4962,1.6,1342,5.8,0.1724,7.8
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Black Crappie,5618,17.7,476,12.1,209,26.8,0.0373,9.6
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Pumpkinseed,482,1.5,113,4.3,35,13.8,0.0725,7.3
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Rock Bass,0,0.0,96,0.0,0,0.0,,
https://dnr.wisconsin.gov/sites/default/files/topic/OcontoWhitePotato2020Creel_Final.pdf,WhitePotatoLake_2020Creel.pdf,2026-09-08,White Potato Lake,Oconto,2019-20,Yellow Bullhead,0,0.0,7,0.0,0,0.0,,
