source_url,source_file,retrieval_date,waterbody,survey_type,year,freshwater_drum_per_trawl,yellow_perch_per_trawl,emerald_shiner_per_trawl,walleye_per_trawl,white_bass_per_trawl,white_sucker_per_trawl,channel_catfish_per_trawl,common_carp_per_trawl,bluegill_per_trawl,quillback_per_trawl
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1986,522.3,0.4,0.0,1.4,24.3,1.6,0.3,1.1,0.0,0.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1987,369.6,0.3,0.0,0.8,8.1,1.5,0.1,0.8,0.0,0.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1988,313.6,0.9,0.0,0.3,5.7,1.2,0.3,0.9,0.0,0.3
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1989,365.7,1.6,0.4,0.3,10.8,1.2,0.4,1.3,0.0,0.9
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1990,343.6,4.3,0.6,0.2,7.9,1.4,0.3,0.8,0.0,0.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1991,377.2,3.2,0.1,0.6,6.4,1.1,0.5,0.7,0.0,0.3
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1992,567.7,2.6,0.4,4.6,11.9,1.8,0.6,1.2,0.0,0.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1993,355.0,1.1,0.0,4.7,6.9,2.2,0.4,1.6,0.0,0.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1994,462.9,0.7,0.0,6.3,3.8,1.6,0.5,2.3,0.0,0.5
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1995,413.4,0.7,0.0,3.8,2.8,1.2,0.4,1.4,0.0,0.3
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1996,537.0,1.2,0.1,3.3,7.0,2.0,0.3,0.8,0.0,0.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1997,391.0,0.9,1.1,6.4,5.7,1.7,0.6,0.9,0.0,1.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1998,301.0,0.6,0.2,4.5,3.2,2.0,0.6,1.5,0.0,1.3
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),1999,461.2,1.2,2.0,4.7,7.5,2.0,0.6,1.9,0.0,1.4
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),2000,640.0,2.0,3.9,2.8,27.1,2.2,0.9,1.9,0.0,1.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),2001,429.6,1.2,4.9,1.0,14.0,1.6,0.7,1.1,0.0,1.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),2002,813.8,4.2,1.0,14.4,10.1,2.9,0.9,1.0,0.0,1.6
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),2003,481.4,4.5,0.4,11.7,8.5,2.1,1.4,1.4,0.0,0.8
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment (fisheries survey; not angler creel),2004,496.6,2.8,0.8,8.2,6.3,1.2,0.8,1.8,0.0,0.7
