site_no,station_nm,site_type,lat,lon
04026005,"BOIS BRULE RIVER NEAR LAKE SUPERIOR, WI",ST,46.7055374,-91.6021071
04026157,"SISKIWIT RIVER AT CTY HWY C NEAR CORNUCOPIA, WI",ST,46.8048333,-91.0930778
04026160,"SISKIWIT RIVER AT CORNUCOPIA, WI",ST,46.854722,-91.091389
04026561,"TYLER FORKS RIVER AT STRICKER ROAD NEAR MELLEN, WI",ST,46.3947222,-90.59
04027000,"BAD RIVER NEAR ODANAH, WI",ST,46.4866144,-90.696297
04027080,"WHITE RIVER NEAR MASON, WI",ST,46.438871,-91.2004252
04027086,"SADJAK SPRINGS TRIB TO WHITE RIVER NEAR MASON, WI",ST,46.43720436,-91.2040364
04027595,"BAD RIVER AT ODANAH, WI",ST,46.6102607,-90.6870738
04063700,"POPPLE RIVER NEAR FENCE, WI",ST,45.7636111,-88.4636111
04067500,"MENOMINEE RIVER NEAR MC ALLISTER, WI",ST,45.3258333,-87.6633333
04069500,"PESHTIGO RIVER AT PESHTIGO, WI",ST,45.0475,-87.7444444
04071765,"OCONTO RIVER NEAR OCONTO, WI",ST,44.86055556,-87.98388889
04072150,"DUCK CREEK NEAR HOWARD, WI",ST,44.53338889,-88.1296944
04073500,"FOX RIVER AT BERLIN, WI",ST,43.96875,-88.950306
04077630,"RED RIVER AT MORGAN ROAD NEAR MORGAN, WI",ST,44.8980311,-88.8442729
0407809265,"MIDDLE BRANCH EMBARRASS RIVER NEAR WITTENBERG, WI",ST,44.8252512,-89.1181668
04080798,"TOMORROW RIVER NEAR NELSONVILLE, WI",ST,44.5244444,-89.3377778
04081000,"WAUPACA RIVER NEAR WAUPACA, WI",ST,44.32916667,-88.9958333
04082400,"FOX RIVER AT OSHKOSH, WI",ST,44.01361209,-88.5408823
04083420,"PARSONS CREEK UPSTREAM SITE NEAR FOND DU LAC, WI",ST,43.6933238,-88.4720495
04083425,"PARSONS CREEK DOWNSTREAM SITE NEAR FOND DU LAC, WI",ST,43.69721258,-88.475383
04084422,"LITTLE LAKE BUTTE DES MORTS AT MENASHA, WI",ST,44.2047225,-88.4686577
04084445,"FOX RIVER AT APPLETON, WI",ST,44.24805556,-88.4230556
040844505,"FOX RIVER AT COLLEGE AVENUE BRIDGE AT APPLETON, WI",ST,44.2610978,-88.3895513
