water_type,lake_name,county,survey_year,species,cpue_or_abundance_metric,cpue_value,notes,source_pdf_url
lake,Franklin Lake,Forest,2025,Walleye,fish per net-night (fyke net),9.78,"Adult population estimate 414 fish (0.46 adults/acre); down from 0.77/acre in 2014. Nets specifically targeting walleye caught 20.09 fish/net-night. Fall electrofishing age-0 recruitment 27.3/mile in 2025, first strong year class since 2008.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Northern Pike,fish per net-night (fyke net),12.51,"Adult population estimate 1,121 fish (1.26 adults/acre). Nets targeting northern pike caught 19.22 fish/net-night vs 4.27 fish/net-night on walleye-targeted nets.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Smallmouth Bass,adults per mile electrofished,23.79,"Combined 5/15 and 5/27/2025 standardized surveys, >95th percentile for lake class. Adult population estimate 1,663 fish (1.86 adults/acre).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Yellow Perch,fish per net-night (fyke net),1.69,Down from 8.00 fish/net-night in 2014; n=93 measured.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Bluegill,fish per net-night (fyke net),41.83,Most abundant panfish species in 2025 late-spring netting.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Rock Bass,fish per net-night (fyke net),21.33,Up from 3.03 fish/net-night in 1997.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,White Sucker,fish per net-night (fyke net),6.61,"97.4% of measured fish >=10 inches, 41.0% >=20 inches (trophy size).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Lake Whitefish,n/a — narrative mention only,n/a,"Sampled 3.8-22.7 inches via summer gill netting and fall electrofishing; effort low. Franklin Lake is one of 9 inland WI systems with lake whitefish.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Largemouth Bass,fish per net-night (fyke net),0.12,Combined table of minor 'other species'; spring netting #1.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Pumpkinseed,fish per net-night (fyke net),1.33,Spring netting #3 (6/16-6/18/2025).,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Golden Shiner,fish per net-night (fyke net),0.02,Spring netting #1.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
lake,Franklin Lake,Forest,2025,Common Shiner,fish per net-night (fyke net),0.33,Spring netting #3.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ForestFranklinLake2025Comp.pdf
